call	err	
15.912472	0.000000
14.406020	1.506452
15.432426	1.345353
15.374448	0.953074
14.741832	0.972221
14.658983	0.798127
14.866005	0.705594
15.130729	0.665940
15.578037	0.738248
15.627672	0.662172
15.523915	0.607877
15.674780	0.575056
15.656452	0.529292
15.668657	0.490181
15.530122	0.476899
15.710051	0.481018
15.472435	0.510508
15.347776	0.497193
15.194941	0.494508
15.086727	0.481450
15.036711	0.460674
14.902123	0.459393
14.978938	0.445635
14.961833	0.427006
14.919807	0.411720
14.892213	0.396529
14.847522	0.384169
14.869900	0.370870
14.850891	0.358357
14.721216	0.369695
14.762970	0.360000
14.825276	0.354093
14.762892	0.348819
14.675477	0.349512
14.719019	0.342161
14.653231	0.338966
14.644060	0.329805
14.604889	0.323390
14.536718	0.322281
14.576710	0.316657
14.599500	0.309676
14.644881	0.305601
14.607136	0.300787
14.595449	0.294104
14.619247	0.288478
14.610670	0.282267
14.608576	0.276204
14.557694	0.275134
14.583176	0.270663
14.631575	0.269575
14.660777	0.265845
14.650577	0.260882
14.696543	0.260008
14.756962	0.262203
14.783428	0.258749
14.820534	0.256781
14.760044	0.259388
14.693729	0.263362
14.749328	0.264763
14.711847	0.262998
14.695822	0.259146
14.706501	0.255156
14.678778	0.252599
14.647485	0.250583
14.708332	0.254090
14.675452	0.252362
14.704759	0.250289
14.729098	0.247779
14.739911	0.244401
14.733208	0.240977
14.777074	0.241575
14.773679	0.238220
14.797645	0.236154
14.795149	0.232954
14.787973	0.229939
14.764389	0.228116
14.750477	0.225563
14.709260	0.226435
14.728444	0.224372
14.728914	0.221550
14.759572	0.220935
14.753188	0.218318
14.727132	0.217240
14.708202	0.215471
14.781613	0.225221
14.756324	0.224019
14.770366	0.221874
14.759936	0.219586
14.722749	0.220266
14.704383	0.218578
14.681679	0.217352
14.667094	0.215471
14.666039	0.213144
14.670381	0.210909
14.693433	0.209946
14.717339	0.209119
14.725902	0.207129
14.722924	0.205026
14.742562	0.203892
14.766923	0.203308
