CALL_dir	Err_CALL_dir	CALL_ind	Err_CALL_ind	
15.912472	0.000000	14.744155	0.000000
14.406020	1.506452	15.337565	0.593410
15.432426	1.345353	15.041410	0.452864
15.374448	0.953074	14.409803	0.708146
14.741832	0.972221	14.346444	0.552175
14.658983	0.798127	14.339446	0.450903
14.866005	0.705594	14.793994	0.593159
15.130729	0.665940	15.196213	0.652425
15.578037	0.738248	14.627608	0.808936
15.627672	0.662172	14.821239	0.748996
15.523915	0.607877	15.048013	0.714439
15.674780	0.575056	15.221280	0.674814
15.656452	0.529292	15.259682	0.621925
15.668657	0.490181	15.268290	0.575855
15.530122	0.476899	15.616432	0.639217
15.710051	0.481018	15.326242	0.664630
15.472435	0.510508	15.284032	0.625737
15.347776	0.497193	15.314035	0.590713
15.194941	0.494508	15.111103	0.594468
15.086727	0.481450	15.046450	0.567656
15.036711	0.460674	15.031653	0.540151
14.902123	0.459393	15.019374	0.515160
14.978938	0.445635	15.116000	0.501647
14.961833	0.427006	15.131804	0.480550
14.919807	0.411720	15.227647	0.470786
14.892213	0.396529	15.164562	0.456695
14.847522	0.384169	15.091311	0.445518
14.869900	0.370870	15.175509	0.437491
14.850891	0.358357	15.272403	0.433113
14.721216	0.369695	15.250279	0.419011
14.762970	0.360000	15.356571	0.418977
14.825276	0.354093	15.305480	0.408877
14.762892	0.348819	15.243181	0.401160
14.675477	0.349512	15.284539	0.391374
14.719019	0.342161	15.203181	0.388638
14.653231	0.338966	15.142395	0.382549
14.644060	0.329805	15.202903	0.376954
14.604889	0.323390	15.170965	0.368287
14.536718	0.322281	15.078786	0.370374
14.576710	0.316657	15.005523	0.368355
14.599500	0.309676	14.980747	0.360112
14.644881	0.305601	14.982982	0.351440
14.607136	0.300787	15.021389	0.345312
14.595449	0.294104	15.125531	0.353081
14.619247	0.288478	15.078189	0.348377
14.610670	0.282267	15.027992	0.344397
14.608576	0.276204	15.100901	0.344787
14.557694	0.275134	15.121529	0.338157
14.583176	0.270663	15.066269	0.335763
14.631575	0.269575	15.050772	0.329344
14.660777	0.265845	15.052287	0.322825
14.650577	0.260882	15.083507	0.318092
14.696543	0.260008	15.057420	0.313121
14.756962	0.262203	15.060179	0.307280
14.783428	0.258749	15.065978	0.301697
14.820534	0.256781	15.069559	0.296282
14.760044	0.259388	15.110209	0.293863
14.693729	0.263362	15.128392	0.289324
14.749328	0.264763	15.200990	0.293498
14.711847	0.262998	15.226046	0.289651
14.695822	0.259146	15.187422	0.287469
14.706501	0.255156	15.177035	0.282985
14.678778	0.252599	15.245243	0.286689
14.647485	0.250583	15.212677	0.284047
14.708332	0.254090	15.185475	0.280963
14.675452	0.252362	15.167377	0.277265
14.704759	0.250289	15.190880	0.274105
14.729098	0.247779	15.192760	0.270050
14.739911	0.244401	15.244829	0.271154
14.733208	0.240977	15.273677	0.268804
14.777074	0.241575	15.307829	0.267183
14.773679	0.238220	15.308964	0.263449
14.797645	0.236154	15.290365	0.260479
14.795149	0.232954	15.258884	0.258857
14.787973	0.229939	15.243856	0.255824
14.764389	0.228116	15.250547	0.252524
14.750477	0.225563	15.284938	0.251585
14.709260	0.226435	15.277557	0.248448
14.728444	0.224372	15.286661	0.245452
14.728914	0.221550	15.282797	0.242395
14.759572	0.220935	15.334290	0.244859
14.753188	0.218318	15.332817	0.241859
14.727132	0.217240	15.308811	0.240131
14.708202	0.215471	15.279774	0.239025
14.781613	0.225221	15.279795	0.236196
14.756324	0.224019	15.290941	0.233700
14.770366	0.221874	15.271963	0.231776
14.759936	0.219586	15.270743	0.229130
14.722749	0.220266	15.264909	0.226616
14.704383	0.218578	15.326945	0.232513
14.681679	0.217352	15.317709	0.230129
14.667094	0.215471	15.278885	0.230901
14.666039	0.213144	15.279420	0.228405
14.670381	0.210909	15.246549	0.228341
14.693433	0.209946	15.234733	0.226233
14.717339	0.209119	15.244310	0.224069
14.725902	0.207129	15.244899	0.221748
14.722924	0.205026	15.213944	0.221646
14.742562	0.203892	15.201522	0.219747
14.766923	0.203308	15.193589	0.217683
