PUT_dir	Err_PUT_dir	PUT_ind	Err_PUT_ind	
5.616669	0.000000	5.518614	0.000000
5.314729	0.301941	6.216002	0.697388
4.837261	0.508296	5.606054	0.730858
4.706996	0.382298	5.162054	0.681331
4.786905	0.306719	5.211789	0.530095
4.851389	0.258604	5.479099	0.508713
4.700006	0.265867	5.355536	0.447345
4.667121	0.232584	5.204772	0.415713
4.637746	0.207213	5.271163	0.372587
4.648976	0.185677	5.327938	0.338054
4.776075	0.210622	5.306299	0.306546
4.834378	0.200916	5.410518	0.298614
4.923913	0.205362	5.420633	0.274871
4.937326	0.190600	5.340637	0.266758
4.957450	0.178577	5.276630	0.256455
4.968959	0.167439	5.407034	0.273044
5.034389	0.170349	5.334493	0.266541
5.057974	0.162329	5.357434	0.252343
5.102289	0.159815	5.370066	0.239026
5.147072	0.158089	5.348754	0.227760
5.159725	0.150904	5.374135	0.218124
5.252853	0.171390	5.409267	0.210920
5.231088	0.165209	5.465416	0.209216
5.250080	0.159311	5.470972	0.200386
5.306671	0.162949	5.420404	0.198745
5.317656	0.156941	5.449626	0.193171
5.348337	0.154102	5.426702	0.187287
5.367662	0.149748	5.494703	0.192860
5.378992	0.144936	5.444630	0.192710
5.337561	0.146023	5.462730	0.187053
5.321045	0.142196	5.459869	0.180941
5.293183	0.140472	5.440267	0.176289
5.312726	0.137544	5.436855	0.170897
5.327089	0.134208	5.434055	0.165818
5.344087	0.131421	5.429304	0.161081
5.373720	0.131111	5.442871	0.157130
5.386825	0.128190	5.443527	0.152825
5.414568	0.127818	5.423852	0.150045
5.464712	0.134216	5.469926	0.153237
5.483815	0.132205	5.477483	0.149548
5.470747	0.129601	5.481026	0.145898
5.465049	0.126606	5.450741	0.145567
5.486941	0.125550	5.463184	0.142685
5.471554	0.123624	5.418613	0.146357
5.462723	0.121168	5.446428	0.145746
5.461717	0.118509	5.467484	0.144089
5.474653	0.116679	5.420623	0.148574
5.499499	0.116894	5.390822	0.148468
5.472396	0.117648	5.385254	0.145513
5.472193	0.115271	5.411438	0.144957
5.477430	0.113110	5.399254	0.142608
5.525693	0.120959	5.382582	0.140829
5.536773	0.119171	5.398408	0.139050
5.533144	0.116999	5.411284	0.137057
5.540296	0.115075	5.421975	0.134966
5.540745	0.113002	5.428288	0.132684
5.574881	0.116132	5.438408	0.130728
5.585270	0.114584	5.447736	0.128792
5.582078	0.112671	5.449434	0.126602
5.579316	0.110811	5.451291	0.124488
5.568865	0.109480	5.437750	0.123177
5.550655	0.109228	5.418126	0.122752
5.550244	0.107481	5.431399	0.121515
5.551952	0.105802	5.421444	0.120015
5.527275	0.107045	5.415041	0.118328
5.533739	0.105609	5.418006	0.116559
5.510238	0.106642	5.388962	0.118423
5.502793	0.105326	5.394916	0.116820
5.498227	0.103888	5.392724	0.115135
5.509232	0.102983	5.403613	0.114000
5.486927	0.103944	5.397642	0.112541
5.496073	0.102897	5.385533	0.111626
5.500337	0.101567	5.396793	0.110661
5.501694	0.100194	5.408562	0.109787
5.497250	0.098949	5.414966	0.108503
5.510098	0.098480	5.404168	0.107609
5.498595	0.097871	5.407718	0.106261
5.501443	0.096650	5.429862	0.107202
5.483942	0.097011	5.440073	0.106328
5.473512	0.096357	5.443062	0.105033
5.462121	0.095839	5.432403	0.104275
5.465568	0.094726	5.421989	0.103520
5.477812	0.094375	5.433524	0.102914
5.502532	0.096466	5.428658	0.101798
5.473558	0.099630	5.434747	0.100777
5.476988	0.098525	5.425613	0.100016
5.465081	0.098111	5.430538	0.098983
5.476770	0.097691	5.424260	0.098053
5.467697	0.097013	5.414386	0.097446
5.457987	0.096419	5.400022	0.097422
5.455564	0.095384	5.403545	0.096410
5.447325	0.094701	5.404265	0.095359
5.449207	0.093696	5.412834	0.094716
5.455309	0.092895	5.407673	0.093845
5.452314	0.091960	5.415163	0.093154
5.456493	0.091093	5.411834	0.092238
5.448450	0.090507	5.403911	0.091626
5.466926	0.091465	5.419983	0.092099
5.461177	0.090718	5.449616	0.095859
5.447413	0.090855	5.444606	0.095028
