#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.66939     2.66939           0
           2     2.12375     2.39657    0.192912
           3     2.09989     2.29768    0.151856
           4     2.07459     2.24191     0.12371
           5     2.04133     2.20179    0.105272
           6     2.01352     2.17041   0.0922845
           7     1.99616     2.14552   0.0823901
           8     1.99648     2.12689   0.0741677
           9     1.98456     2.11107   0.0675919
          10     2.01882     2.10185    0.061459
          11     2.01092     2.09358    0.056425
          12     1.96103     2.08254   0.0527931
          13     2.03065     2.07855   0.0488827
          14     1.99126     2.07231    0.045787
          15     1.95399     2.06442   0.0434087
          16     1.95115     2.05734   0.0412689
          17     1.97326      2.0524   0.0391366
          18     1.96605      2.0476   0.0372552
          19      1.9522     2.04258   0.0356311
          20     1.93667     2.03728   0.0342408
