# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           1   0.0942809           0           0           0
           1    0.282843   0.0108521   0.0108521           0
           1    0.471405   0.0867188   0.0867188           0
           1    0.659966    0.104888    0.104888           0
           1    0.848528    0.142944    0.142944           0
           1     1.03709    0.200421    0.200421           0
           1     1.22565    0.277024    0.277024           0
           1     1.41421    0.326669    0.326669           0
           1     1.60278    0.339755    0.339755           0
           1     1.79134    0.396127    0.396127           0
           1      1.9799    0.425688    0.425688           0
           1     2.16846      0.3894      0.3894           0
           1     2.35702    0.593945    0.593945           0
           1     2.54558    0.631461    0.631461           0
           1     2.73415    0.411718    0.411718           0
           1     2.92271    0.287729    0.287729           0
           1     3.11127     0.19993     0.19993           0
           1     3.29983    0.129685    0.129685           0
           1     3.48839    0.124799    0.124799           0
           1     3.67696   0.0858349   0.0858349           0
           1     3.86552   0.0432121   0.0432121           0
           1     4.05408    0.043654    0.043654           0
           1     4.24264   0.0402904   0.0402904           0
           1      4.4312   0.0090107   0.0090107           0
           1     4.61976 0.000368285 0.000368285           0
           1     4.80833 0.000687465 0.000687465           0
           1     4.99689 0.000491046 0.000491046           0
           1     5.18545           0           0           0
           1     5.37401           0           0           0
           1     5.56257           0           0           0

           2   0.0942809   0.0108521  0.00542606  0.00383681
           2    0.282843    0.111345   0.0610984   0.0355295
           2    0.471405   0.0881428   0.0874308 0.000503472
           2    0.659966    0.177071    0.140979   0.0255208
           2    0.848528    0.273586    0.208265   0.0461892
           2     1.03709    0.369758    0.285089   0.0598698
           2     1.22565     0.39625    0.336637   0.0421528
           2     1.41421    0.462099    0.394384   0.0478819
           2     1.60278    0.417193    0.378474   0.0273785
           2     1.79134     0.45687    0.426498   0.0214757
           2      1.9799    0.393991     0.40984   0.0112066
           2     2.16846    0.527433    0.458416   0.0488021
           2     2.35702    0.417905    0.505925   0.0622396
           2     2.54558    0.265656    0.448559    0.129332
           2     2.73415    0.258806    0.335262   0.0540625
           2     2.92271    0.159074    0.223402   0.0454861
           2     3.11127    0.108816    0.154373   0.0322135
           2     3.29983    0.134498    0.132091  0.00170139
           2     3.48839   0.0762595    0.100529   0.0171615
           2     3.67696   0.0711035   0.0784692  0.00520833
           2     3.86552   0.0344469   0.0388295  0.00309896
           2     4.05408   0.0723557   0.0580049   0.0101476
           2     4.24264    0.017113   0.0287017  0.00819444
           2      4.4312   0.0026762  0.00584345  0.00223958
           2     4.61976           0 0.000184142 0.000130208
           2     4.80833           0 0.000343732 0.000243056
           2     4.99689           0 0.000245523 0.000173611
           2     5.18545           0           0           0
           2     5.37401           0           0           0
           2     5.56257           0           0           0

           3   0.0942809  0.00341277  0.00475497   0.0026159
           3    0.282843   0.0486872   0.0569614    0.023926
           3    0.471405    0.143999    0.106287   0.0153997
           3    0.659966    0.248469    0.176809   0.0338428
           3    0.848528    0.265067    0.227199   0.0344557
           3     1.03709     0.31729    0.295823    0.040864
           3     1.22565    0.363718    0.345664   0.0290524
           3     1.41421    0.417365    0.402044   0.0325283
           3     1.60278    0.454267    0.403738    0.027544
           3     1.79134    0.446067    0.433021   0.0152756
           3      1.9799    0.401504    0.407061  0.00780791
           3     2.16846    0.429052    0.448628   0.0335019
           3     2.35702    0.437056    0.482969   0.0455303
           3     2.54558    0.324287    0.407135   0.0926177
           3     2.73415    0.383163    0.351229   0.0383271
           3     2.92271    0.218835    0.221879   0.0303495
