#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -1.0756     -1.0756           0
           2   -0.527138   -0.801369    0.193911
           3   -0.503148   -0.701962    0.152642
           4   -0.477697   -0.645896    0.124353
           5   -0.444472   -0.605611    0.105806
           6   -0.416697   -0.574125   0.0927385
           7   -0.399383   -0.549162   0.0827817
           8   -0.399643   -0.530472    0.074514
           9   -0.387647   -0.514603   0.0679035
          10   -0.421761   -0.505319   0.0617446
          11   -0.413935   -0.497011   0.0566876
          12   -0.364052   -0.485931   0.0530354
          13   -0.433783    -0.48192   0.0491072
          14   -0.394411   -0.475669   0.0459956
          15   -0.357063   -0.467762   0.0436036
          16   -0.354176   -0.460663   0.0414523
          17   -0.376479   -0.455711   0.0393086
          18   -0.369123   -0.450901    0.037418
          19   -0.355237   -0.445866   0.0357857
          20   -0.339717   -0.440558   0.0343878
