#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0696013   0.0696013           0
           2   0.0575304   0.0635659  0.00426771
           3   0.0566455   0.0612591  0.00341208
           4   0.0588764   0.0606634  0.00261054
           5     0.05864   0.0602587  0.00211957
           6   0.0554061   0.0594499   0.0019144
           7   0.0559658   0.0589522  0.00170439
           8   0.0550356   0.0584626  0.00156008
           9   0.0601576    0.058651  0.00139805
          10   0.0562965   0.0584155  0.00127792
          11   0.0576369   0.0583447   0.0011637
          12   0.0558452   0.0581364  0.00108521
          13   0.0564846   0.0580094  0.00100914
          14   0.0565648   0.0579062 0.000942323
          15   0.0565819   0.0578179 0.000883627
          16   0.0555946    0.057679 0.000839255
          17   0.0543459   0.0574829 0.000812466
          18   0.0561756   0.0574103 0.000770568
          19   0.0541826   0.0572404 0.000748503
          20   0.0572678   0.0572418 0.000711079
