#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.77959     1.77959           0
           2     1.41584     1.59772    0.128608
           3     1.39993     1.53179    0.101237
           4     1.38306      1.4946   0.0824735
           5     1.36089     1.46786   0.0701811
           6     1.34235     1.44694    0.061523
           7     1.33077     1.43035   0.0549267
           8     1.33098     1.41793   0.0494452
           9     1.32304     1.40738   0.0450613
          10     1.34588     1.40123   0.0409727
          11     1.34061     1.39572   0.0376167
          12     1.30735     1.38836   0.0351954
          13     1.35377      1.3857   0.0325885
          14     1.32751     1.38154   0.0305246
          15     1.30266     1.37628   0.0289391
          16     1.30077     1.37156   0.0275126
          17      1.3155     1.36826   0.0260911
          18      1.3107     1.36507   0.0248368
          19     1.30146     1.36172   0.0237541
          20     1.29112     1.35819   0.0228272
