# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           1   0.0942809           0           0           0
           1    0.282843 0.000122762 0.000122762           0
           1    0.471405   0.0292664   0.0292664           0
           1    0.659966   0.0863996   0.0863996           0
           1    0.848528   0.0991177   0.0991177           0
           1     1.03709    0.178692    0.178692           0
           1     1.22565    0.134645    0.134645           0
           1     1.41421    0.401529    0.401529           0
           1     1.60278    0.314319    0.314319           0
           1     1.79134    0.413903    0.413903           0
           1      1.9799    0.524806    0.524806           0
           1     2.16846    0.407077    0.407077           0
           1     2.35702    0.417488    0.417488           0
           1     2.54558    0.555938    0.555938           0
           1     2.73415    0.336563    0.336563           0
           1     2.92271    0.308353    0.308353           0
           1     3.11127    0.330499    0.330499           0
           1     3.29983    0.270714    0.270714           0
           1     3.48839     0.13494     0.13494           0
           1     3.67696    0.107883    0.107883           0
           1     3.86552   0.0561512   0.0561512           0
           1     4.05408   0.0765787   0.0765787           0
           1     4.24264   0.0129882   0.0129882           0
           1      4.4312   0.0138966   0.0138966           0
           1     4.61976   0.0047386   0.0047386           0
           1     4.80833  0.00127672  0.00127672           0
           1     4.99689 0.000147314 0.000147314           0
           1     5.18545   0.0150751   0.0150751           0
           1     5.37401   0.0186107   0.0186107           0
           1     5.56257  0.00247978  0.00247978           0

           2   0.0942809           0           0           0
           2    0.282843  0.00206239  0.00109258 0.000685764
           2    0.471405   0.0159836    0.022625  0.00469618
           2    0.659966   0.0233493   0.0548744   0.0222917
           2    0.848528   0.0471159   0.0731168   0.0183854
           2     1.03709    0.164206    0.171449  0.00512153
           2     1.22565    0.364798    0.249722   0.0813715
           2     1.41421    0.368236    0.384882   0.0117708
           2     1.60278    0.289202     0.30176  0.00888021
           2     1.79134    0.330744    0.372324    0.029401
           2      1.9799    0.609487    0.567146   0.0299392
           2     2.16846    0.425737    0.416407  0.00659722
           2     2.35702    0.320801    0.369144    0.034184
           2     2.54558    0.501628    0.528783   0.0192014
           2     2.73415    0.456059    0.396311   0.0422483
           2     2.92271    0.232289    0.270321   0.0268924
           2     3.11127    0.365584    0.348041   0.0124045
           2     3.29983    0.159492    0.215103   0.0393229
           2     3.48839    0.177489    0.156214   0.0150434
           2     3.67696   0.0803106   0.0940968  0.00974826
           2     3.86552   0.0622647   0.0592079  0.00216146
           2     4.05408   0.0924395   0.0845091  0.00560764
           2     4.24264   0.0943055   0.0536468     0.02875
           2      4.4312   0.0362392   0.0250679  0.00789931
           2     4.61976  0.00643271  0.00558565 0.000598958
           2     4.80833   0.0037565  0.00251661 0.000876736
           2     4.99689   0.0234475   0.0117974  0.00823785
           2     5.18545  0.00353553  0.00930533  0.00407986
           2     5.37401  0.00282352   0.0107171   0.0055816
           2     5.56257 0.000171866  0.00132583 0.000815972

           3   0.0942809           0           0           0
           3    0.282843   0.0010803  0.00108849 0.000457188
           3    0.471405  0.00878973   0.0180132    0.004897
           3    0.659966   0.0921449   0.0672979    0.017993
           3    0.848528   0.0627066   0.0696467   0.0125802
           3     1.03709    0.287974    0.210291   0.0318974
           3     1.22565    0.241006    0.246816   0.0542995
           3     1.41421    0.229245    0.333003   0.0430798
           3     1.60278     0.28547     0.29633  0.00739633
           3     1.79134    0.512996    0.419214   0.0430119
           3      1.9799    0.465831    0.533375   0.0340402
           3     2.16846    0.479114     0.43731   0.0176242
           3     2.35702    0.379432    0.372573   0.0229607
           3     2.54558    0.360011    0.472526   0.0476844
           3     2.73415    0.348864    0.380495   0.0309848
           3     2.92271    0.275403    0.272015   0.0179815
           3     3.11127    0.280019    0.325367   0.0202763
           3     3.29983     0.24653    0.225579   0.0275754
           3     3.48839    0.157135    0.156521   0.0100321
           3     3.67696    0.117851    0.102015  0.00916694
           3     3.86552    0.188513     0.10231   0.0352218
           3     4.05408    0.079795   0.0829377  0.00395246
           3     4.24264    0.126911   0.0780682    0.027658
           3      4.4312   0.0166956   0.0222771  0.00573805
           3     4.61976  0.00672734  0.00596621  0.00050596
           3     4.80833 0.000466494  0.00183324  0.00080806
           3     4.99689  0.00225881  0.00861786  0.00607458
           3     5.18545  0.00208695   0.0068992  0.00335522
           3     5.37401 0.000270076  0.00723475  0.00468303
           3     5.56257   0.0308132   0.0111549  0.00804385

           4   0.0942809           0           0           0
           4    0.282843  0.00898615   0.0030629  0.00174394
           4    0.471405   0.0414934   0.0238833  0.00627154
           4    0.659966   0.0928569   0.0736876   0.0145853
           4    0.848528    0.118833   0.0819434   0.0142277
           4     1.03709    0.192908    0.205945   0.0242173
           4     1.22565     0.38827     0.28218   0.0509552
           4     1.41421    0.387804    0.346703   0.0344194
           4     1.60278    0.405703    0.323673   0.0243209
           4     1.79134    0.341744    0.399847   0.0363589
           4      1.9799    0.245155     0.46132    0.067422
           4     2.16846    0.328314    0.410061   0.0270481
           4     2.35702     0.39846    0.379045   0.0181096
           4     2.54558    0.370617    0.447049   0.0420218
           4     2.73415    0.376608    0.379524   0.0232538
           4     2.92271    0.251661    0.266927   0.0141879
           4     3.11127    0.264183    0.310071   0.0201678
           4     3.29983     0.21935    0.224021   0.0207254
           4     3.48839    0.110436       0.145   0.0124966
           4     3.67696    0.203686    0.127433   0.0230611
           4     3.86552    0.190821    0.124437   0.0326351
           4     4.05408   0.0805807   0.0823485  0.00300795
           4     4.24264   0.0835515    0.079439   0.0207774
           4      4.4312   0.0827904   0.0374055   0.0137902
           4     4.61976   0.0620928   0.0199979   0.0121577
           4     4.80833     0.04223   0.0119324  0.00876712
           4     4.99689    0.013823  0.00991914  0.00469324
           4     5.18545 0.000343732  0.00526033  0.00288908
           4     5.37401           0  0.00542606  0.00384572
           4     5.56257           0   0.0083662  0.00649835

           5   0.0942809 0.000834779 0.000166956  0.00014933
           5    0.282843   0.0148296  0.00541624  0.00252527
           5    0.471405   0.0601041   0.0311274  0.00819481
           5    0.659966    0.123302   0.0836105     0.01466
           5    0.848528    0.112965   0.0881477   0.0126629
           5     1.03709    0.208842    0.206524   0.0193808
           5     1.22565    0.392469    0.304238   0.0452874
           5     1.41421    0.381322    0.353627   0.0282233
           5     1.60278    0.320727    0.323084   0.0194639
           5     1.79134    0.335925    0.387062    0.031254
           5      1.9799     0.31837     0.43273   0.0596923
           5     2.16846     0.38201     0.40445   0.0222127
           5     2.35702    0.347022     0.37264    0.015579
           5     2.54558     0.36907    0.431453   0.0363966
           5     2.73415    0.233468    0.350312   0.0320734
           5     2.92271    0.330229    0.279587    0.016033
           5     3.11127    0.219891    0.292035   0.0228157
           5     3.29983      0.2948    0.238177   0.0208618
           5     3.48839    0.196468    0.155293   0.0135908
           5     3.67696    0.144098    0.130766   0.0186882
           5     3.86552    0.106287    0.120807   0.0263092
           5     4.05408    0.104617   0.0868023  0.00465398
           5     4.24264    0.112106   0.0859724   0.0176192
           5      4.4312    0.102923    0.050509   0.0160957
           5     4.61976   0.0520264   0.0264036   0.0112882
           5     4.80833   0.0223917   0.0140243  0.00725897
