#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.93667     1.93667           0
           2      1.9522     1.94444   0.0054884
           3     1.96605     1.95164  0.00692712
           4     1.97326     1.95704  0.00699246
           5     1.95115     1.95587  0.00569239
           6     1.95392     1.95554  0.00475288
           7     1.98602      1.9599  0.00573148
           8      2.0138     1.96663   0.0080543
           9     1.99825     1.97015  0.00788815
          10     1.94314     1.96745  0.00754737
          11     1.93248     1.96427  0.00750069
          12     1.96354     1.96421  0.00687588
          13     1.99726     1.96675  0.00680091
          14     1.96687     1.96676  0.00631513
          15     2.00176     1.96909  0.00631058
          16     2.02065     1.97231  0.00668863
          17     2.01733     1.97496  0.00679909
          18     1.98611     1.97558   0.0064495
          19     1.95206     1.97434  0.00622771
          20     1.98774     1.97501  0.00595222
