# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           1   0.0757188  0.00431054  0.00431054           0
           1    0.227156    0.026597    0.026597           0
           1    0.378594   0.0752663   0.0752663           0
           1    0.530031    0.183702    0.183702           0
           1    0.681469    0.308892    0.308892           0
           1    0.832907    0.361291    0.361291           0
           1    0.984344    0.353159    0.353159           0
           1     1.13578    0.334357    0.334357           0
           1     1.28722    0.457896    0.457896           0
           1     1.43866    0.439186    0.439186           0
           1     1.59009    0.669662    0.669662           0
           1     1.74153    0.400513    0.400513           0
           1     1.89297    0.366029    0.366029           0
           1     2.04441    0.454991    0.454991           0
           1     2.19584    0.416135    0.416135           0
           1     2.34728    0.362024    0.362024           0
           1     2.49872    0.233686    0.233686           0
           1     2.65016    0.277678    0.277678           0
           1     2.80159    0.202779    0.202779           0
           1     2.95303   0.0904908   0.0904908           0
           1     3.10447    0.162608    0.162608           0
           1     3.25591    0.174256    0.174256           0
           1     3.40735    0.117179    0.117179           0
           1     3.55878   0.0314578   0.0314578           0
           1     3.71022   0.0155913   0.0155913           0
           1     3.86166   0.0344232   0.0344232           0
           1      4.0131  0.00531939  0.00531939           0
           1     4.16453   0.0324972   0.0324972           0
           1     4.31597   0.0078568   0.0078568           0
           1     4.46741  0.00317941  0.00317941           0

           2   0.0757188  0.00238455  0.00334755 0.000680939
           2    0.227156   0.0132373   0.0199171  0.00472334
           2    0.378594   0.0683878   0.0718271  0.00243193
           2    0.530031    0.118525    0.151114   0.0230438
           2    0.681469    0.353342    0.331117   0.0157156
           2    0.832907     0.33769     0.34949   0.0083442
           2    0.984344    0.399902     0.37653   0.0165263
           2     1.13578     0.41317    0.373764   0.0278645
           2     1.28722    0.458385     0.45814 0.000172937
           2     1.43866    0.430504    0.434845  0.00306963
           2     1.59009    0.504456    0.587059   0.0584094
           2     1.74153    0.348267     0.37439   0.0184718
           2     1.89297    0.486113    0.426071    0.042456
           2     2.04441    0.435059    0.445025  0.00704718
           2     2.19584    0.400636    0.408386  0.00547994
           2     2.34728    0.329925    0.345974    0.011349
           2     2.49872    0.164106    0.198896   0.0246003
           2     2.65016    0.318827    0.298253   0.0145483
           2     2.80159    0.319561     0.26117   0.0412887
           2     2.95303    0.166888     0.12869   0.0270106
           2     3.10447    0.191712     0.17716   0.0102897
           2     3.25591   0.0797297    0.126993   0.0334201
           2     3.40735   0.0833677    0.100274   0.0119543
