#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.339673   -0.339673           0
           2    -0.35527   -0.347472  0.00551424
           3   -0.369215   -0.354719  0.00696657
           4   -0.376315   -0.360118  0.00701151
           5   -0.354213   -0.358937  0.00570781
           6   -0.357011   -0.358616  0.00476552
           7   -0.389213   -0.362987  0.00574988
           8   -0.416946   -0.369732  0.00806958
           9   -0.401338   -0.373244  0.00790023
          10    -0.34614   -0.370533  0.00756086
          11   -0.335503   -0.367349  0.00751431
          12   -0.366681   -0.367293  0.00688832
          13   -0.400264   -0.369829  0.00680936
          14   -0.369965   -0.369839  0.00632299
          15   -0.405002   -0.372183  0.00632108
          16   -0.423799   -0.375409  0.00669881
          17   -0.420499   -0.378062  0.00680963
          18   -0.389113   -0.378676  0.00645894
          19   -0.355285   -0.377444  0.00623521
          20   -0.390953    -0.37812  0.00595992
