#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0572556   0.0572556           0
           2   0.0541873   0.0557215  0.00108482
           3   0.0561931   0.0558787 0.000734516
           4   0.0543358    0.055493  0.00064425
           5   0.0555867   0.0555117 0.000515672
           6   0.0565999   0.0556931 0.000460516
           7    0.056718   0.0558395 0.000417354
           8   0.0588817   0.0562198 0.000509796
           9   0.0566552   0.0562681 0.000455441
          10    0.054344   0.0560757 0.000448705
          11    0.054063   0.0558927 0.000443656
          12   0.0581369   0.0560798 0.000444354
          13   0.0575971   0.0561965 0.000425227
          14   0.0568428   0.0562426 0.000397352
          15   0.0575401   0.0563291  0.00038016
          16   0.0575429    0.056405  0.00036389
          17   0.0556116   0.0563583 0.000345465
          18   0.0587236   0.0564897 0.000350374
          19   0.0560522   0.0564667 0.000332689
          20   0.0562108   0.0564539   0.0003163
