#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.29112     1.29112           0
           2     1.30146     1.29629  0.00365894
           3      1.3107     1.30109  0.00461808
           4      1.3155      1.3047  0.00466164
           5     1.30077     1.30391  0.00379493
           6     1.30261     1.30369  0.00316858
           7     1.32402      1.3066  0.00382099
           8     1.34253     1.31109  0.00536954
           9     1.33216     1.31343  0.00525877
          10     1.29543     1.31163  0.00503158
          11     1.28832     1.30951  0.00500046
          12     1.30902     1.30947  0.00458392
          13     1.33151     1.31117  0.00453394
          14     1.31124     1.31117  0.00421009
          15     1.33451     1.31273  0.00420705
          16      1.3471     1.31488  0.00445909
          17     1.34488     1.31664  0.00453273
          18     1.32407     1.31705  0.00429966
          19     1.30137     1.31623   0.0041518
          20     1.32516     1.31668  0.00396814
