#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       1.597       1.597           0
           2     1.59693     1.59696 2.58384e-05
           3     1.59683     1.59692 3.96788e-05
           4     1.59694     1.59693 3.00887e-05
           5     1.59694     1.59693 2.41856e-05
           6     1.59691     1.59692 2.03414e-05
           7     1.59681     1.59691 2.31331e-05
           8     1.59685      1.5969 2.13226e-05
           9     1.59691      1.5969 1.89628e-05
          10       1.597     1.59691 1.95896e-05
          11     1.59698     1.59692 1.87705e-05
          12     1.59686     1.59691 1.79044e-05
          13       1.597     1.59692 1.76951e-05
          14      1.5969     1.59692 1.64847e-05
          15     1.59676     1.59691 1.84751e-05
          16     1.59686      1.5969 1.76034e-05
          17     1.59683      1.5969 1.71483e-05
          18     1.59699     1.59691 1.69704e-05
          19     1.59678      1.5969   1.737e-05
          20     1.59678     1.59689 1.74374e-05
