x	y	z
0.866025	0.866025	0.866025
0.813951	0.820474	0.897717
0.761877	0.774923	0.929409
0.709802	0.729371	0.9611
0.657728	0.68382	0.992792
0.605653	0.638269	1.02448
0.553579	0.592717	1.05618
0.501505	0.547166	1.08787
0.44943	0.501615	1.11956
0.397356	0.456064	1.15125
0.345282	0.410512	1.18294
0.293207	0.364961	1.21463
0.241133	0.31941	1.24632
0.189058	0.273858	1.27802
0.136984	0.228307	1.30971
0.0849096	0.182756	1.3414
0.0328352	0.137204	1.37309
-0.0192392	0.091653	1.40478
-0.0713136	0.0461016	1.43647
-0.123388	0.000550315	1.46817
-0.175462	-0.045001	1.49986
-0.227537	-0.0905523	1.53155
-0.279611	-0.136104	1.56324
-0.331686	-0.181655	1.59493
-0.38376	-0.227206	1.62662
-0.435834	-0.272758	1.65832
-0.487909	-0.318309	1.69001
-0.539983	-0.36386	1.7217
-0.592057	-0.409412	1.75339
-0.644132	-0.454963	1.78508
-0.696206	-0.500514	1.81677
-0.748281	-0.546066	1.84847
-0.800355	-0.591617	1.88016
-0.852429	-0.637168	1.91185
-0.904504	-0.682719	1.94354
-0.956578	-0.728271	1.97523
-1.00865	-0.773822	2.00692
-1.06073	-0.819373	2.03862
-1.1128	-0.864925	2.07031
-1.16488	-0.910476	2.102
-1.21695	-0.956027	2.13369
-1.26902	-1.00158	2.16538
-1.3211	-1.04713	2.19707
-1.37317	-1.09268	2.22877
-1.42525	-1.13823	2.26046
-1.47732	-1.18378	2.29215
-1.5294	-1.22934	2.32384
-1.58147	-1.27489	2.35553
-1.63355	-1.32044	2.38722
-1.68562	-1.36599	2.41891
-1.73769	-1.41154	2.45061
-1.78977	-1.45709	2.4823
-1.84184	-1.50264	2.51399
-1.89392	-1.54819	2.54568
-1.94599	-1.59375	2.57737
-1.99807	-1.6393	2.60906
-2.05014	-1.68485	2.64076
-2.10221	-1.7304	2.67245
-2.15429	-1.77595	2.70414
-2.20636	-1.8215	2.73583
-2.25844	-1.86705	2.76752
-2.31051	-1.91261	2.79921
-2.36259	-1.95816	2.83091
-2.41466	-2.00371	2.8626
-2.46674	-2.04926	2.89429
-2.51881	-2.09481	2.92598
-2.57088	-2.14036	2.95767
-2.62296	-2.18591	2.98936
-2.67503	-2.23146	3.02106
-2.72711	-2.27702	3.05275
-2.77918	-2.32257	3.08444
-2.83126	-2.36812	3.11613
-2.88333	-2.41367	3.14782
-2.93541	-2.45922	3.17951
-2.98748	-2.50477	3.21121
