Media blocco	Media prog	errore	
1.4912299101	1.4912299101	0.0000000000
1.4955415792	1.4933857447	0.0021558346
1.5580977540	1.5149564144	0.0216065500
1.4901463980	1.5087539103	0.0164891649
1.5576469220	1.5185325126	0.0160859130
1.4928849779	1.5142579235	0.0138121871
1.4108787550	1.4994894709	0.0188248806
1.4760605325	1.4965608536	0.0165637827
1.5209202531	1.4992674535	0.0148565116
1.4829483501	1.4976355432	0.0133879005
1.5064124139	1.4984334405	0.0121360693
1.5004016987	1.4985974620	0.0110798790
1.4549223426	1.4952378375	0.0107314524
1.5071850919	1.4960912128	0.0099719762
1.5319518971	1.4984819251	0.0095862979
1.4695495550	1.4966736519	0.0091476675
1.4744560457	1.4953667339	0.0086915574
1.4689836101	1.4939010048	0.0083245328
1.5263770783	1.4956102718	0.0080576008
1.5296512976	1.4973123231	0.0078313099
1.5374805118	1.4992250940	0.0076907224
1.4572990867	1.4973193664	0.0075764101
1.4890245855	1.4969587238	0.0072484878
1.5054283540	1.4973116250	0.0069488656
1.5253924260	1.4984348571	0.0067591009
1.5218412621	1.4993351034	0.0065560372
1.5062560909	1.4995914363	0.0063137553
1.4902006042	1.4992560494	0.0060933240
1.4775916152	1.4985090000	0.0059267265
1.5125109608	1.4989757320	0.0057447530
1.4566893979	1.4976116567	0.0057213386
1.5219986503	1.4983737503	0.0055918373
1.5308537264	1.4993579920	0.0055083851
1.4530795751	1.4979968620	0.0055145389
1.5321587887	1.4989729171	0.0054428945
1.4961324904	1.4988940164	0.0052901311
1.4943900116	1.4987722865	0.0051466082
1.4763950278	1.4981834113	0.0050438346
1.5064652557	1.4983957663	0.0049173909
1.5002964169	1.4984432825	0.0047931153
1.5015282926	1.4985185267	0.0046753540
1.5061577021	1.4987004118	0.0045663022
1.5294682161	1.4994159421	0.0045158919
1.5024883697	1.4994857700	0.0044126170
1.5327767880	1.5002255704	0.0043764263
1.5599250532	1.5015233853	0.0044726599
1.4451906530	1.5003248165	0.0045376195
1.4875285931	1.5000582285	0.0044500723
1.5194761648	1.5004545129	0.0043762876
1.4963487328	1.5003723973	0.0042886549
1.5112090210	1.5005848801	0.0042090893
1.4831232269	1.5002490791	0.0041409894
1.4547105490	1.4993898616	0.0041519829
1.5410428007	1.5001612123	0.0041467413
1.4716287718	1.4996424406	0.0041035714
1.4835478658	1.4993550375	0.0040398633
1.5645640630	1.5004990555	0.0041299665
1.4896410780	1.5003118490	0.0040624513
1.4406019938	1.4992998176	0.0041192568
1.4483892874	1.4984513087	0.0041379506
1.5178677922	1.4987696117	0.0040819792
1.5704258551	1.4999253576	0.0041786123
1.4680982048	1.4994201647	0.0041426693
1.5542372862	1.5002766822	0.0041664167
1.4612030783	1.4996755499	0.0041456320
1.5080420279	1.4998023147	0.0040843038
1.5485686875	1.5005301710	0.0040881972
1.4622677605	1.4999674885	0.0040667430
1.4990181463	1.4999537299	0.0040073949
1.5674159716	1.5009174762	0.0040656102
1.5164947935	1.5011368750	0.0040139396
1.4925660990	1.5010178365	0.0039595876
1.4697716260	1.5005898062	0.0039283585
1.5069655401	1.5006759648	0.0038758667
1.4800664956	1.5004011718	0.0038337003
1.4452673218	1.4996757264	0.0038518514
1.3948828216	1.4983147796	0.0040377673
1.5401726146	1.4988514185	0.0040216298
1.5314435095	1.4992639767	0.0039917733
1.4994945001	1.4992668582	0.0039415614
1.5385344536	1.4997516433	0.0039226675
1.5489907638	1.5003521204	0.0039207898
1.5745506056	1.5012460781	0.0039750885
1.4505714693	1.5006428089	0.0039735426
1.4968984255	1.5005987573	0.0039267638
1.4866473295	1.5004365314	0.0038842244
1.5300962682	1.5007774479	0.0038544249
1.5031565907	1.5008044837	0.0038104687
1.4656308082	1.5004092738	0.0037880837
1.5385340238	1.5008328822	0.0037696343
1.4712994533	1.5005083390	0.0037420796
1.4972478214	1.5004728986	0.0037013510
1.5194633634	1.5006770971	0.0036670251
1.4501980059	1.5001400855	0.0036673351
1.4687605727	1.4998097749	0.0036435295
1.4287726978	1.4990698053	0.0036805290
1.4809788189	1.4988833003	0.0036471595
1.5126830308	1.4990241139	0.0036124972
1.4888075177	1.4989209159	0.0035773100
1.5468328416	1.4994000352	0.0035736199
