Media blocco	Media prog	errore	
4.9116226716	4.9116226716	0.0000000000
5.0331525504	4.9723876110	0.0607649394
5.2539025988	5.0662259402	0.1001819578
5.0765641474	5.0688104920	0.0708864743
5.2574260177	5.1065335972	0.0666180757
4.8968510450	5.0715865051	0.0646524909
5.0646792152	5.0705997494	0.0546502368
4.7974206066	5.0364523566	0.0583612091
4.9810331220	5.0302946638	0.0518367841
4.9102054357	5.0182857410	0.0478942166
5.1348688943	5.0288842095	0.0445995380
5.0112051151	5.0274109516	0.0407402685
5.0034342474	5.0255665898	0.0375209541
4.8139031518	5.0104477728	0.0378851316
5.0281511018	5.0116279947	0.0352888797
5.0295763757	5.0127497685	0.0330287795
4.8878133685	5.0054005685	0.0318836919
4.9889215620	5.0044850682	0.0300741708
5.1474604985	5.0120100908	0.0294257684
5.0716728177	5.0149932272	0.0280746748
5.1019633878	5.0191346634	0.0270235711
4.9121543104	5.0142719201	0.0262208157
4.9961082845	5.0134821968	0.0250672998
5.1727599713	5.0201187707	0.0249007933
5.0094763389	5.0196930734	0.0238877953
4.9954249045	5.0187596823	0.0229696238
5.0823071289	5.0211132915	0.0222274907
5.0134322438	5.0208389683	0.0214207026
4.9224562327	5.0174464602	0.0209454297
5.0985613568	5.0201502901	0.0204150513
4.7558469432	5.0116243757	0.0215076003
4.9236374046	5.0088747828	0.0210053821
5.1472557414	5.0130681452	0.0207862789
4.8669273656	5.0087698870	0.0206186461
4.9622696149	5.0074413078	0.0200649104
5.1164456275	5.0104692056	0.0197332738
5.0568690268	5.0117232548	0.0192334597
5.0908226964	5.0138048190	0.0188358460
5.1398818067	5.0170375623	0.0186291548
4.8924644340	5.0139232341	0.0184225997
4.9908848960	5.0133613234	0.0179764348
5.0226077907	5.0135814774	0.0175445853
4.9154325825	5.0112989450	0.0172831007
4.8122422933	5.0067749301	0.0174812686
5.0507491841	5.0077521358	0.0171162991
5.0079390032	5.0077561981	0.0167400713
4.8648443593	5.0047155207	0.0166598627
5.0127927956	5.0048837973	0.0163099576
4.9765746910	5.0043060604	0.0159840781
4.8828949935	5.0018778391	0.0158482611
4.9675813325	5.0012053585	0.0155489520
4.8482265716	4.9982634588	0.0155282272
4.9013420759	4.9964347535	0.0153418029
5.0615537873	4.9976406615	0.0151032344
4.9097777654	4.9960431543	0.0149119044
5.0087435883	4.9962699477	0.0146449556
5.1117831531	4.9982964952	0.0145277731
4.9649379567	4.9977213480	0.0142866786
5.0237074462	4.9981617903	0.0140493494
5.0220601320	4.9985600960	0.0138189505
4.9412980083	4.9976213733	0.0136229034
5.1044139490	4.9993438342	0.0135116174
4.9388771244	4.9983840451	0.0133300159
5.2677935159	5.0025935681	0.0137788467
4.8968622765	5.0009669329	0.0136623869
5.0550258925	5.0017860080	0.0134786985
5.0519705652	5.0025350312	0.0132971126
4.9539497166	5.0018205413	0.0131195774
4.9950095578	5.0017218314	0.0129284173
5.1162526859	5.0033579865	0.0128470010
5.0674360639	5.0042604946	0.0126968811
4.9529709178	5.0035481394	0.0125395439
5.2171922013	5.0064747704	0.0127081620
5.0752277097	5.0074038641	0.0125696381
4.9331934784	5.0064143923	0.0124403230
4.9786837782	5.0060495158	0.0122809648
4.8873718637	5.0045082476	0.0122180255
5.2283401641	5.0073778876	0.0123970675
5.0537502342	5.0079648793	0.0122532047
4.9276020255	5.0069603436	0.0121406998
5.1467739563	5.0086864376	0.0121134871
5.0497027907	5.0091866370	0.0119753008
5.0921791208	5.0101865465	0.0118723223
4.8957578474	5.0088243001	0.0118089691
4.9754875249	5.0084321027	0.0116758020
5.0379154208	5.0087749320	0.0115443298
5.0606802876	5.0093715453	0.0114264511
5.0726801546	5.0100909613	0.0113187449
5.0884013797	5.0109708536	0.0112253833
5.0667461434	5.0115905791	0.0111172427
4.8263941463	5.0095554534	0.0111811667
5.0134970018	5.0095982964	0.0110590475
5.0635950411	5.0101789065	0.0109548837
4.9075319276	5.0090869174	0.0108925904
4.9220799394	5.0081710545	0.0108161669
4.9518071282	5.0075839302	0.0107189972
4.9526463325	5.0070175632	0.0106230252
5.0459698145	5.0074150352	0.0105215785
4.8483479130	5.0058082966	0.0105379688
4.9411785045	5.0051619987	0.0104520578
