Media blocco	Media prog	errore	
4.1061964812	4.1061964812	0.0000000000
1.4977366122	2.8019665467	1.3042299345
1.5400975004	2.3813435313	0.8625131662
1.4757037448	2.1549335846	0.6505581794
1.5787093859	2.0396887449	0.5169303048
1.5506765291	1.9581867089	0.4298688271
1.4403707296	1.8842129976	0.3707599941
1.5469552805	1.8420557830	0.3238432656
1.4590783914	1.7995027395	0.2887555826
1.4891194474	1.7684644102	0.2601292122
1.5498213709	1.7485877703	0.2361337742
1.4824585368	1.7264103342	0.2166974960
1.4624581115	1.7061063170	0.2003641191
1.4445273972	1.6874221085	0.1864397179
1.4614338438	1.6723562242	0.1742185796
1.4908252821	1.6610105403	0.1633610230
1.4790027732	1.6503042011	0.1538240008
1.4684563134	1.6402015406	0.1453781121
1.4899859737	1.6322954582	0.1377410117
1.4995734458	1.6256593575	0.1308409933
1.4795244533	1.6187005526	0.1246490061
1.5787278907	1.6168836134	0.1188620519
1.4460257668	1.6094550114	0.1138193018
1.5264387633	1.6059960010	0.1090285686
1.4969241547	1.6016331272	0.1046674980
1.5090205927	1.5980711066	0.1006243454
1.4922896637	1.5941532754	0.0969050520
1.5224862715	1.5915937396	0.0934151164
1.5676751955	1.5907689622	0.0901401389
1.4678109420	1.5866703615	0.0871800447
1.4994294866	1.5838561397	0.0843678506
1.5499047645	1.5827951593	0.0816957099
1.5402668587	1.5815064229	0.0791918780
1.4552013597	1.5777915681	0.0769171668
1.5371684628	1.5766309079	0.0746962262
1.5406094320	1.5756303114	0.0725985794
1.5000598999	1.5735878678	0.0706387324
1.4761608735	1.5710239995	0.0688024801
1.5559102765	1.5706364682	0.0670162177
1.4555086217	1.5677582720	0.0653827101
1.4981972452	1.5660616616	0.0637906390
1.4812460449	1.5640422422	0.0622860343
1.5043766975	1.5626546714	0.0608361014
1.4923714790	1.5610573261	0.0594588434
1.5048406846	1.5598080674	0.0581359429
1.4716818321	1.5578922797	0.0568903401
1.5337569186	1.5573787613	0.0556691175
1.5445774759	1.5571120679	0.0544976573
1.5400448471	1.5567637573	0.0533750101
1.4917832784	1.5554641477	0.0523127615
1.5343084545	1.5550493302	0.0512784405
1.5200605600	1.5543764692	0.0502871496
1.5115872133	1.5535691248	0.0493358177
1.4900257107	1.5523923949	0.0484278701
1.4511386305	1.5505514173	0.0475748428
1.5656001308	1.5508201444	0.0467183411
1.5213003743	1.5503022537	0.0458943246
1.5410587782	1.5501428834	0.0450963832
1.5227645939	1.5496788446	0.0443278769
1.5476678192	1.5496453275	0.0435828304
1.5283246677	1.5492958085	0.0428638285
1.5042418297	1.5485691314	0.0421730703
1.4957541599	1.5477307985	0.0415067246
1.4810379067	1.5466887221	0.0408663230
1.4723255749	1.5455446737	0.0402489609
1.4430169984	1.5439912240	0.0396648685
1.4389798431	1.5424238900	0.0390997966
1.5452498328	1.5424654480	0.0385205308
1.5192107625	1.5421284236	0.0379596532
1.5119467407	1.5416972567	0.0374159271
1.4261016312	1.5400691493	0.0369210926
1.4825234076	1.5392699028	0.0364134607
1.5244467396	1.5390668458	0.0359117561
1.4208633383	1.5374695011	0.0354591344
1.4887771679	1.5368202700	0.0349891751
1.4156782388	1.5352262959	0.0345624974
1.5287994847	1.5351428308	0.0341107827
1.5217180203	1.5349707179	0.0336710650
1.4813921247	1.5342925078	0.0332490345
1.5125535775	1.5340207712	0.0328319155
1.4674909936	1.5331994159	0.0324344513
1.5167022560	1.5329982310	0.0320370992
1.5025480249	1.5326313611	0.0316508827
1.4810252886	1.5320170031	0.0312778507
1.5072099600	1.5317251555	0.0309090634
1.5003476576	1.5313603009	0.0305497203
1.5303463732	1.5313486466	0.0301965347
1.4616929645	1.5305571047	0.0298619126
1.5260169796	1.5305060921	0.0295245231
1.5141323329	1.5303241614	0.0291951966
1.5066531873	1.5300640408	0.0288737596
1.5277151162	1.5300385090	0.0285582013
1.5618445531	1.5303805095	0.0282515251
1.4473257662	1.5294969484	0.0279633235
1.4736489196	1.5289090744	0.0276736518
1.4634648851	1.5282273641	0.0273923515
1.4950438779	1.5278852663	0.0271106438
1.4798282422	1.5273948885	0.0268370591
1.5347537280	1.5274692202	0.0265646986
1.4653422101	1.5268479501	0.0263050475
