x	y	z
20	0	0
19.0944	-0.792197	0.551159
19.0394	-0.619794	1.04323
18.5096	-0.509735	-0.115248
17.4647	0.101434	-0.755671
17.4485	0.715948	-0.80574
16.8674	0.0901916	-0.873429
17.1478	0.283315	-1.87194
18.1842	0.893039	-1.86748
18.6307	0.579481	-1.50279
18.8161	1.39549	-2.57616
19.8214	2.45119	-1.82428
18.9425	1.37954	-1.31206
19.034	0.856807	-1.35639
18.3494	-0.300332	-2.28218
17.771	-1.16319	-1.31675
17.1461	-0.367101	-0.719703
16.429	-1.18527	-0.299867
16.1888	-1.60081	0.867636
16.0373	-2.73194	1.69748
15.5092	-1.68425	2.78175
16.4258	-2.18724	3.45837
17.2183	-1.32048	4.03103
16.6434	-0.464393	4.14575
16.2633	0.159713	3.04035
15.5748	0.150799	3.85276
14.5106	-0.862437	2.86134
14.3703	0.185481	3.8601
13.3573	-0.36761	4.8258
14.1356	-0.0168928	4.07564
13.0798	-0.900483	2.90674
12.2434	0.245759	3.68426
12.2333	1.17573	3.34586
11.0335	1.55137	2.85713
10.63	2.41031	3.57304
10.9135	1.5696	3.66592
11.0099	1.27093	4.05686
10.2486	0.0915003	3.87921
9.54961	-1.03024	3.46247
9.57995	-1.10374	3.51121
8.5069	-0.938796	4.48023
8.00903	-0.712716	3.8242
6.99065	-1.62979	2.66454
6.10068	-1.23963	2.29362
5.05267	-2.38552	2.4262
5.30861	-1.67508	1.91926
4.86886	-1.69279	2.48859
4.48389	-1.70079	3.11778
4.63556	-2.44209	3.51917
3.74409	-1.96944	3.49526
3.58751	-1.58088	3.51251
3.31938	-2.52	2.34888
2.66493	-2.65075	2.02551
3.32401	-2.26681	1.10199
3.56574	-2.53363	1.26475
2.38952	-2.92003	1.34788
1.91924	-2.70137	2.4426
1.68875	-2.96945	1.64957
2.60723	-2.4259	2.0676
3.45455	-1.42278	2.3919
2.58923	-2.53944	1.29452
3.42945	-2.19801	2.03964
2.47224	-2.73039	1.2053
3.17758	-1.71224	0.171334
3.38071	-0.750506	-0.445418
3.21401	0.14284	-1.28068
2.68575	0.330848	-0.168589
2.71049	0.0707386	-0.568953
2.61099	0.905517	-0.111605
3.62934	1.06321	-0.0102896
2.67803	1.71731	-0.136511
3.20519	1.51623	-0.112255
2.53482	2.51822	-0.746876
2.16132	2.21849	0.415018
1.53825	2.8996	1.3918
0.798057	1.93034	2.50394
1.61119	2.08388	1.3372
2.05841	1.95173	1.75219
1.93626	0.92878	2.90937
3.1304	0.884091	2.35574
3.99023	-0.120501	1.48715
4.12906	-0.990885	0.486246
3.11226	-0.0650798	0.15715
2.55788	-0.627115	0.555673
2.54249	-0.630418	-0.224014
2.86783	-0.890684	-0.194824
2.37297	-1.71058	-1.11335
1.52794	-1.93638	-0.157172
1.51572	-0.998215	0.295136
1.31266	-0.864601	-0.660343
0.506237	-0.518252	-1.10672
0.977027	0.506735	-1.739
0.523254	0.206932	-1.04927
-0.0929835	-0.627118	-0.562604
0.648719	0.290842	0.187528
0.840243	0.638415	-0.325001
-0.0165177	-0.42122	-1.24476
0.739436	0.558472	-1.60828
1.8722	1.24843	-1.43908
0.826866	2.32492	-0.618892
-0.215345	2.38505	-1.25666
0.0988355	1.36678	-0.983374
1.13755	0.452292	0.0830982
1.40483	-0.238273	-0.0943594
