Media blocco	Media prog	errore	
1.5950077630	1.5950077630	0.0000000000
1.4726527064	1.5338302347	0.0611775283
1.5469567490	1.5382057395	0.0355908466
1.4444747774	1.5147729989	0.0343867345
1.5868254255	1.5291834843	0.0302841641
1.5372477268	1.5305275247	0.0247634174
1.4509891839	1.5191649046	0.0238144558
1.5569072964	1.5238827035	0.0211566504
1.4807272506	1.5190876532	0.0192647045
1.4632283468	1.5135017226	0.0181136880
1.5515198033	1.5169579117	0.0167450099
1.5172454916	1.5169818767	0.0152860515
1.4625965709	1.5127983917	0.0146702661
1.4667161157	1.5095068005	0.0139751936
1.4452173882	1.5052208397	0.0136979813
1.5143268597	1.5057899659	0.0128259214
1.4406130778	1.5019560314	0.0126431749
1.4700722424	1.5001847097	0.0120509898
1.4820101268	1.4992281527	0.0114391596
1.5029286011	1.4994131752	0.0108537168
1.5079938920	1.4998217807	0.0103320268
1.5497116133	1.5020895004	0.0101088433
1.4349720132	1.4991713488	0.0100905078
1.5388403187	1.5008242225	0.0098012997
1.5155870548	1.5014147358	0.0094196043
1.4855509546	1.5008045904	0.0090706074
1.4939431254	1.5005504621	0.0087318948
1.4910560997	1.5002113777	0.0084210940
1.5451644060	1.5017614821	0.0082720596
1.4783901006	1.5009824361	0.0080294511
1.5033998456	1.5010604170	0.0077665099
1.5424959005	1.5023552759	0.0076305582
1.5292613317	1.5031706109	0.0074405226
1.5197270001	1.5036575635	0.0072347735
1.4995377156	1.5035398536	0.0070260113
1.5165471974	1.5039011687	0.0068376087
1.5170984939	1.5042578531	0.0066597998
1.4693930911	1.5033403594	0.0065467826
1.5404116530	1.5042909054	0.0064471647
1.4366727045	1.5026004504	0.0065073247
1.4883196535	1.5022521383	0.0063561760
1.4686868058	1.5014529637	0.0062542623
1.4975309214	1.5013617534	0.0061077637
1.4965180119	1.5012516684	0.0059683519
1.5199602860	1.5016674154	0.0058490088
1.4475118699	1.5004901210	0.0058403335
1.4836543911	1.5001319139	0.0057259357
1.4807221666	1.4997275442	0.0056199428
1.5603235567	1.5009641975	0.0056412708
1.4855043574	1.5006550007	0.0055359354
1.5291368231	1.5012134678	0.0054549647
1.4946124972	1.5010865261	0.0053505390
1.4924465853	1.5009235083	0.0052511457
1.4554930938	1.5000822044	0.0052212110
1.4919203149	1.4999338064	0.0051275487
1.5594434126	1.5009964779	0.0051460699
1.4957189866	1.5009038903	0.0050558296
1.5723864381	1.5021363481	0.0051184898
1.5307548829	1.5026214080	0.0050543171
1.5840578813	1.5039786825	0.0051513860
1.4970430659	1.5038649839	0.0050675089
1.5372237638	1.5044030287	0.0050140566
1.4844552521	1.5040863973	0.0049439761
1.4788660052	1.5036923287	0.0048820435
1.4494908954	1.5028584605	0.0048781472
1.4361758251	1.5018481176	0.0049087690
1.4234379449	1.5006778165	0.0049745687
1.5448338194	1.5013271695	0.0049436990
1.4959349565	1.5012490214	0.0048721511
1.5205822228	1.5015252100	0.0048099804
1.4618952824	1.5009670420	0.0047744892
1.4363103798	1.5000690328	0.0047925935
1.4971017864	1.5000283856	0.0047266604
1.4287408160	1.4990650401	0.0047608333
1.4495467890	1.4984047967	0.0047431045
1.4393204191	1.4976273707	0.0047444077
1.5012198246	1.4976740260	0.0046826191
1.5292441491	1.4980787711	0.0046398827
1.4829048562	1.4978866963	0.0045847986
1.4969322048	1.4978747651	0.0045271416
1.4466820328	1.4972427561	0.0045153513
1.5274245511	1.4976108268	0.0044751084
1.4681988953	1.4972564661	0.0044350421
1.4957374487	1.4972383826	0.0043819632
1.5222474138	1.4975326065	0.0043400883
1.4745055208	1.4972648497	0.0042976744
1.5094216136	1.4974045826	0.0042502862
1.4484952291	1.4968487945	0.0042383094
1.5057105710	1.4969483650	0.0041916002
1.4880780886	1.4968498064	0.0041459368
1.4990849836	1.4968743688	0.0041001975
1.4810116988	1.4967019484	0.0040590490
1.5616034073	1.4973998136	0.0040753619
1.4455320877	1.4968480293	0.0040693570
1.4850161836	1.4967234835	0.0040282196
1.4981848033	1.4967387056	0.0039860672
1.4850316255	1.4966180141	0.0039466056
1.4888897915	1.4965391547	0.0039069225
1.5262304346	1.4968390666	0.0038788691
1.4832363119	1.4967030390	0.0038422932
