Media blocco	Media prog	errore	
5.3734124969	5.3734124969	0.0000000000
4.9822349190	5.1778237079	0.1955887889
5.0378727452	5.1311733870	0.1221798288
4.9356313691	5.0822878826	0.0992660457
5.0336052540	5.0725513568	0.0775051523
5.0815465813	5.0740505609	0.0633004479
4.7827089507	5.0324303309	0.0677816224
5.2175659313	5.0555722809	0.0630976315
4.8995200400	5.0382331431	0.0582856844
4.9572380422	5.0301336330	0.0527577375
5.0441126131	5.0314044493	0.0477380871
5.0962904481	5.0368116159	0.0439128863
4.8235282374	5.0204052022	0.0435986704
4.8642683704	5.0092525713	0.0418769158
4.9352030644	5.0043159375	0.0392966024
5.0048679960	5.0043504412	0.0367586218
4.7793791501	4.9911168358	0.0369778355
4.9251470723	4.9874518490	0.0350551498
4.9906260829	4.9876189139	0.0331592729
5.1417963662	4.9953277865	0.0323884294
5.1321472562	5.0018429994	0.0314889284
5.0153911696	5.0024588253	0.0300298302
4.8375350028	4.9952882243	0.0295768768
5.0419707331	4.9972333288	0.0283844283
4.8345393869	4.9907255712	0.0279923671
5.0819189358	4.9942330083	0.0271219453
4.9611152868	4.9930064260	0.0261269121
5.1573451857	4.9988756674	0.0258516011
5.1759578589	5.0049819499	0.0256807699
5.0121554804	5.0052210676	0.0248111331
5.1062685737	5.0084806645	0.0242177964
5.1763731925	5.0137273060	0.0240285779
5.0401625510	5.0145283741	0.0233028323
5.1087429267	5.0172993903	0.0227762607
5.0868229147	5.0192857767	0.0222049649
5.1781523346	5.0236987367	0.0220259491
5.0805329235	5.0252347958	0.0214773833
4.9028747216	5.0220147938	0.0211510902
5.1440548288	5.0251440255	0.0208379157
4.8819137958	5.0215632697	0.0206235207
5.0664257416	5.0226574764	0.0201439596
4.9760166813	5.0215469813	0.0196898322
4.9896271034	5.0208046585	0.0192408021
5.0238908446	5.0208747991	0.0187985565
4.9891468935	5.0201697345	0.0183895843
4.9926822431	5.0195721804	0.0179952922
5.0174871243	5.0195278175	0.0176083073
5.1163822079	5.0215456173	0.0173552629
5.0720996520	5.0225773323	0.0170286669
5.0334859900	5.0227955054	0.0166860444
5.0174943778	5.0226915617	0.0163559252
5.0257961527	5.0227512654	0.0160384154
4.9947066866	5.0222221224	0.0157417895
4.9205797691	5.0203398566	0.0155617781
4.8403505174	5.0170673232	0.0156228125
5.2098374620	5.0205096471	0.0157227541
4.9569776019	5.0193950498	0.0154846203
5.1115945075	5.0209846956	0.0152981172
5.0685659726	5.0217911579	0.0150582027
5.2309153096	5.0252765605	0.0152098384
4.9898595511	5.0246959538	0.0149696826
5.0522210377	5.0251399067	0.0147329473
5.0641936542	5.0257598075	0.0145104524
4.9575101071	5.0246934059	0.0143216847
4.8946013982	5.0226919904	0.0142409697
4.8596048548	5.0202209732	0.0142395763
4.8941045781	5.0183386390	0.0141511841
5.0741617022	5.0191595664	0.0139656740
5.0738106278	5.0199516107	0.0137845584
4.8827654942	5.0179918091	0.0137268314
4.7792014620	5.0146285647	0.0139437994
4.8581988408	5.0124559297	0.0139193773
5.0763059782	5.0133305879	0.0137552134
4.8812314165	5.0115454639	0.0136849878
4.8986149525	5.0100397238	0.0135849932
4.8243874447	5.0075969306	0.0136258081
4.9036115588	5.0062464713	0.0135153239
5.0386878574	5.0066623865	0.0133474070
5.0730885134	5.0075032235	0.0132041687
5.0208969455	5.0076706450	0.0130391468
4.7241119338	5.0041699202	0.0133445276
5.1807943249	5.0063238764	0.0133556211
4.8637843342	5.0046065325	0.0133050273
4.9784103810	5.0042946735	0.0131493785
5.0051565981	5.0043048138	0.0129937630
5.0087462325	5.0043564582	0.0128418878
5.0170664405	5.0045025500	0.0126942624
5.0146655408	5.0046180385	0.0125497117
4.9164783064	5.0036277044	0.0124473614
4.9492201439	5.0030231760	0.0123231173
4.9907734283	5.0028885634	0.0121876895
5.1034222263	5.0039813206	0.0121039154
5.1066731821	5.0050855342	0.0120238686
4.9982197872	5.0050124943	0.0118954916
4.8940126735	5.0038440751	0.0118274646
4.8885395488	5.0026429863	0.0117650832
4.9349260605	5.0019448737	0.0116640722
4.9769563923	5.0016898892	0.0115472531
4.9827494237	5.0014985713	0.0114316202
5.0012023842	5.0014956095	0.0113167270
