#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0590094   0.0590094           0
           2   0.0623381   0.0606738  0.00117686
           3   0.0633179   0.0615551  0.00106464
           4   0.0646558   0.0623303  0.00104318
           5   0.0640247   0.0626692 0.000887882
           6   0.0665744   0.0633201 0.000948938
           7   0.0641201   0.0634343  0.00082023
           8   0.0610823   0.0631403 0.000768591
           9   0.0614726    0.062955 0.000705178
          10   0.0643656   0.0630961 0.000648615
          11   0.0602335   0.0628359 0.000639727
          12     0.06281   0.0628337  0.00058642
          13   0.0615274   0.0627332 0.000549853
          14   0.0638857   0.0628155 0.000516703
          15   0.0609084   0.0626884 0.000497653
          16   0.0615812   0.0626192 0.000471336
          17   0.0635142   0.0626718 0.000446541
          18   0.0653634   0.0628214 0.000446067
          19   0.0627136   0.0628157 0.000422626
          20   0.0623884   0.0627943 0.000402035
