#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0275996   0.0275996           0
           2   0.0294068   0.0285032 0.000638942
           3   0.0262064   0.0277376 0.000756442
           4    0.028986   0.0280497 0.000628427
           5   0.0260904   0.0276578 0.000612856
           6    0.027216   0.0275842 0.000515118
           7   0.0272388   0.0275349 0.000443887
           8    0.028034   0.0275972 0.000392762
           9   0.0275028   0.0275868 0.000349262
          10   0.0269252   0.0275206  0.00032054
          11      0.0251   0.0273005 0.000359076
          12   0.0276888   0.0273329 0.000330608
          13   0.0274968   0.0273455 0.000305416
          14   0.0264704    0.027283 0.000289927
          15   0.0300904   0.0274702 0.000325449
          16   0.0291264   0.0275737 0.000321149
          17   0.0254452   0.0274485 0.000325752
          18   0.0282916   0.0274953 0.000311004
          19   0.0281332   0.0275289 0.000296442
          20   0.0259776   0.0274513  0.00029159
          21   0.0248592   0.0273279 0.000302706
          22   0.0285732   0.0273845 0.000294191
          23   0.0291628   0.0274618 0.000291383
          24    0.028358   0.0274991 0.000281625
          25    0.025498   0.0274191 0.000281506
          26   0.0260072   0.0273648 0.000275867
          27   0.0244328   0.0272562 0.000286226
          28   0.0278956    0.027279 0.000276913
          29   0.0245976   0.0271866  0.00028238
          30     0.02751   0.0271974 0.000273173
          31   0.0265824   0.0271775  0.00026508
          32   0.0253488   0.0271204 0.000262884
          33   0.0260176    0.027087 0.000257033
          34    0.026302   0.0270639 0.000250508
          35    0.028574    0.027107 0.000247038
          36   0.0277652   0.0271253 0.000240852
          37   0.0278304   0.0271444 0.000235095
          38   0.0281844   0.0271717 0.000230496
          39   0.0306932    0.027262 0.000241625
          40   0.0272784   0.0272624 0.000235585
