#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46267    -0.46267           0
           2   -0.463377   -0.463023 0.000250084
           3   -0.463722   -0.463256 0.000252851
           4   -0.463435   -0.463301 0.000193551
           5   -0.463143   -0.463269 0.000157379
           6   -0.461887   -0.463039  0.00024789
           7   -0.463159   -0.463056 0.000213072
           8   -0.463513   -0.463113 0.000193932
           9   -0.463603   -0.463168 0.000179856
          10   -0.462431   -0.463094 0.000176297
          11   -0.463191   -0.463103 0.000160489
          12   -0.462911   -0.463087 0.000147906
          13   -0.462436   -0.463037 0.000144764
          14   -0.463503    -0.46307 0.000138202
          15   -0.463315   -0.463086 0.000129954
          16     -0.4637   -0.463125 0.000127367
          17   -0.462736   -0.463102 0.000121909
          18   -0.462587   -0.463073 0.000118439
          19    -0.46257   -0.463047 0.000115131
          20   -0.462164   -0.463003  0.00011754
          21   -0.462633   -0.462985 0.000113251
          22   -0.463327   -0.463001 0.000109163
          23     -0.4627   -0.462987 0.000105196
          24   -0.463154   -0.462994  0.00010104
          25   -0.463281   -0.463006 9.76471e-05
          26   -0.462648   -0.462992 9.48559e-05
          27   -0.463781   -0.463021 9.57418e-05
          28    -0.46217   -0.462991 9.70315e-05
          29   -0.463094   -0.462995 9.37511e-05
          30   -0.462271    -0.46297 9.36767e-05
          31    -0.46322   -0.462978 9.10015e-05
          32   -0.462186   -0.462954 9.14639e-05
          33   -0.462441   -0.462938 9.00014e-05
          34   -0.462972   -0.462939 8.73599e-05
          35   -0.463414   -0.462953 8.59103e-05
          36   -0.462228   -0.462933 8.58496e-05
          37   -0.463327   -0.462943 8.41885e-05
          38   -0.462763   -0.462939 8.21067e-05
          39   -0.463375    -0.46295 8.07594e-05
          40    -0.46183   -0.462922 8.34545e-05
