#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0286      0.0286           0
           2    0.056604    0.042602  0.00990091
           3    0.071384    0.052196   0.0102436
           4      0.0733    0.057472  0.00893873
           5     0.07018   0.0600136  0.00750363
           6    0.052264    0.058722  0.00636321
           7    0.056556   0.0584126   0.0054617
           8    0.051344    0.057529  0.00484993
           9    0.042752   0.0558871  0.00458055
          10    0.068252   0.0571236  0.00428614
          11    0.060796   0.0574575  0.00390947
          12    0.058376    0.057534  0.00358443
          13    0.040272   0.0562062  0.00354613
          14    0.050196   0.0557769  0.00331872
          15    0.037088   0.0545309  0.00332313
          16    0.064208   0.0551358  0.00316999
          17    0.055712   0.0551696   0.0029837
          18    0.070448   0.0560184  0.00293619
          19    0.088364   0.0577208  0.00323778
          20    0.071848   0.0584272    0.003152
