#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     81.5711     81.5711           0
           2     76.6858     79.1284     1.72721
           3     70.2113      76.156     2.68624
           4     76.5712     76.2598     2.01668
           5     73.2871     75.6653     1.69872
           6     85.2768     77.2672     2.03529
           7     87.6471       78.75     2.21993
           8     79.0817     78.7915     1.94282
           9     77.6362     78.6631     1.73119
          10     84.5019      79.247      1.6536
          11     84.9794     79.7681     1.58326
          12     80.3047     79.8129     1.45196
          13     78.9507     79.7465     1.34178
          14     79.0578     79.6973     1.24684
          15     74.8867     79.3766     1.20426
          16     81.8249     79.5296     1.13867
          17     82.9001     79.7279     1.08882
          18     80.4624     79.7687     1.02909
          19     65.0727     78.9952     1.23177
          20     91.2411     79.6075     1.31358
