#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.362062    0.362062           0
           2    0.375844    0.368953  0.00487271
           3    0.379939    0.372615  0.00441494
           4     0.37451    0.373089  0.00333652
           5     0.35883    0.370237  0.00369191
           6     0.37278    0.370661  0.00310082
           7     0.37307    0.371005  0.00267688
           8    0.382007     0.37238  0.00267226
           9    0.362421    0.371274  0.00259436
          10    0.362975    0.370444  0.00246408
          11    0.368863      0.3703  0.00224426
          12    0.357411    0.369226  0.00229994
          13     0.37985    0.370043  0.00226357
          14    0.381609    0.370869   0.0022476
          15    0.358254    0.370028  0.00224961
          16    0.368387    0.369926  0.00211135
          17    0.362295    0.369477  0.00203431
          18    0.375065    0.369787  0.00194483
          19    0.378822    0.370263  0.00189972
          20    0.365893    0.370044  0.00181725
