#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46216    -0.46216           0
           2   -0.461888   -0.462024 9.61665e-05
           3   -0.460496   -0.461515 0.000420782
           4   -0.458232   -0.460694 0.000777634
           5     -0.4596   -0.460475 0.000652163
           6   -0.464472   -0.461141 0.000815559
           7   -0.462896   -0.461392 0.000736566
           8   -0.461576   -0.461415 0.000644854
           9   -0.462128   -0.461494  0.00057805
          10   -0.464368   -0.461782 0.000587352
          11   -0.460992    -0.46171 0.000538324
          12   -0.463184   -0.461833 0.000507288
          13   -0.461368   -0.461797 0.000469523
          14    -0.46232   -0.461834  0.00043747
          15   -0.461992   -0.461845 0.000408432
          16   -0.461768    -0.46184 0.000382933
          17   -0.461888   -0.461843 0.000360418
          18   -0.461968    -0.46185 0.000340462
          19    -0.46372   -0.461948 0.000336471
          20   -0.459272   -0.461814 0.000345231
