#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.96363     1.96363           0
           2     2.08601     2.02482   0.0432669
           3     2.17265      2.0741   0.0495045
           4      2.1416     2.09097   0.0399015
           5     2.16113       2.105   0.0342997
           6     2.21147     2.12275   0.0328536
           7     2.13065     2.12388   0.0281796
           8     2.12466     2.12397   0.0246573
           9     2.15082     2.12696   0.0220973
          10     2.20207     2.13447   0.0211256
          11     2.17102     2.13779   0.0194646
          12     2.14408     2.13831   0.0178496
          13     2.14105     2.13853   0.0164778
          14     2.13157     2.13803   0.0153083
          15     2.10696     2.13596   0.0144272
          16     2.14455     2.13649   0.0135355
          17     2.12677     2.13592   0.0127514
          18     2.17715     2.13821    0.012247
          19     2.15057     2.13886   0.0116196
          20     2.12749     2.13829   0.0110526
