#   N_BLOCK:  ACCEPTANCE:
           1    0.016498
           2    0.015907
           3   0.0173127
           4   0.0154095
           5   0.0146468
           6   0.0145933
           7   0.0140094
           8   0.0142913
           9   0.0141442
          10   0.0141214
          11   0.0143398
          12   0.0138738
          13   0.0136251
          14    0.013764
          15   0.0135269
          16    0.013539
          17   0.0137453
          18   0.0135479
          19   0.0133243
          20   0.0132941
