#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02772     0.02772           0
           2    0.025084    0.026402 0.000931967
           3    0.024548    0.025784 0.000800402
           4    0.035752    0.028276  0.00224007
           5     0.02946   0.0285128  0.00180453
           6      0.0191    0.026944   0.0020766
           7    0.021828   0.0262131  0.00190422
           8    0.023548     0.02588  0.00169508
           9     0.02834   0.0261533  0.00152862
          10     0.02114    0.025652  0.00145565
          11     0.02248   0.0253636  0.00135158
          12    0.026328    0.025444  0.00124133
          13    0.024216   0.0253495  0.00114943
          14    0.036284   0.0261306    0.001306
          15     0.02338   0.0259472  0.00123174
          16    0.023932   0.0258213  0.00116118
          17       0.016   0.0252435  0.00122821
          18     0.02398   0.0251733  0.00116198
          19    0.022576   0.0250366  0.00110884
          20    0.024332   0.0250014  0.00105395
