#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.032016    0.032016           0
           2    0.024508    0.028262  0.00265448
           3    0.024488    0.027004  0.00204615
           4    0.030376    0.027847  0.00169942
           5    0.021092    0.026496  0.00181893
           6    0.016316   0.0247993  0.00216713
           7    0.028484   0.0253257   0.0019204
           8     0.03146   0.0260925  0.00182703
           9    0.038032   0.0274191  0.00204984
          10    0.029224   0.0275996  0.00185278
          11    0.040644   0.0287855  0.00202865
          12    0.027908   0.0287123  0.00186092
          13      0.0345   0.0291575  0.00177022
          14    0.029296   0.0291674  0.00164381
          15    0.017744   0.0284059  0.00170151
          16    0.033244   0.0287082  0.00162181
          17      0.0298   0.0287725  0.00152768
          18    0.034032   0.0290647  0.00147049
          19    0.021784   0.0286815  0.00144216
          20    0.025116   0.0285032  0.00138103
