#   N_BLOCK:  ACCEPTANCE:
           1    0.019714
           2    0.021851
           3   0.0241407
           4   0.0240955
           5    0.025018
           6    0.024616
           7   0.0255683
           8   0.0254568
           9    0.024694
          10    0.024635
          11   0.0247922
          12   0.0249432
          13   0.0243875
          14    0.024433
          15   0.0246972
          16   0.0245939
          17   0.0245834
          18   0.0240786
          19   0.0248054
          20   0.0247203
