#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     75.8013     75.8013           0
           2      86.371     81.0862     3.73693
           3     77.3778       79.85     2.68796
           4       77.79      79.335     2.06472
           5     88.0661     81.0813     2.27328
           6     82.8182     81.3707     1.91274
           7     79.6452     81.1242      1.6553
           8      83.501     81.4213     1.47481
           9     76.1079      80.831     1.42422
          10     77.4395     80.4918     1.32156
          11     75.6291     80.0497     1.27321
          12     84.0372      80.382     1.20969
          13     81.1083     80.4379     1.11793
          14     79.1485     80.3458     1.04186
          15     77.9574     80.1866    0.984498
          16      75.551     79.8968    0.964656
          17     81.3506     79.9824    0.911694
          18     86.8436     80.3635    0.937349
          19     70.0586     79.8212     1.03308
          20     81.4966      79.905    0.984814
