#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.41787     4.41787           0
           2     4.44805     4.43296   0.0106702
           3     4.24951     4.37181    0.050433
           4     4.29217      4.3519   0.0415694
           5     4.11912     4.30534   0.0532902
           6     4.34455     4.31188   0.0448075
           7     4.55754     4.34697   0.0503065
           8     4.47043      4.3624   0.0463247
           9     4.42953     4.36986   0.0417737
          10     4.53283     4.38616   0.0406512
          11     4.50199     4.39669   0.0382952
          12     4.28367     4.38727   0.0362436
          13     4.36191     4.38532   0.0335081
          14     4.24407     4.37523   0.0325983
          15     4.19657     4.36332   0.0325283
          16     4.79623     4.39038   0.0402031
          17     4.36667     4.38898   0.0378624
          18     4.21687     4.37942   0.0369465
          19     4.42356     4.38174    0.035075
          20     4.58527     4.39192   0.0347661
