#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682824   -0.682824           0
           2   -0.681552   -0.682188  0.00044972
           3   -0.677064    -0.68048  0.00142644
           4   -0.684648   -0.681522  0.00139959
           5    -0.68156    -0.68153  0.00111969
           6   -0.683264   -0.681819 0.000969675
           7   -0.685048    -0.68228  0.00093447
           8   -0.681984   -0.682243 0.000818393
           9   -0.681976   -0.682213 0.000727998
          10   -0.684616   -0.682454 0.000693715
          11    -0.68288   -0.682492 0.000631732
          12    -0.68304   -0.682538 0.000580734
          13    -0.68364   -0.682623 0.000542213
          14   -0.678488   -0.682327 0.000578353
          15   -0.685072    -0.68251 0.000568002
          16   -0.689024   -0.682918 0.000662518
          17   -0.681312   -0.682823 0.000630242
          18   -0.679736   -0.682652 0.000618123
          19    -0.68324   -0.682683 0.000586366
          20    -0.68576   -0.682836 0.000576884
