#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.263383    0.263383           0
           2    0.267962    0.265673    0.001619
           3     0.26582    0.265722  0.00108008
           4    0.269216    0.266596   0.0011084
           5    0.280597    0.269396  0.00265705
           6     0.26685    0.268972  0.00224783
           7     0.26585    0.268526  0.00197044
           8    0.274998    0.269335  0.00188294
           9    0.271066    0.269527  0.00168352
          10    0.270303    0.269605  0.00151696
          11    0.278089    0.270376   0.0015629
          12    0.265307    0.269954  0.00148864
          13     0.26722    0.269743   0.0013889
          14    0.266033    0.269478  0.00131473
          15    0.267118    0.269321  0.00123646
          16    0.277854    0.269854    0.001269
          17    0.270011    0.269864  0.00119439
          18    0.258978    0.269259  0.00127196
          19    0.264586    0.269013  0.00122856
          20    0.262372    0.268681  0.00121117
