#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505416   -0.505416           0
           2   -0.503672   -0.504544 0.000616597
           3    -0.50452   -0.504536 0.000411117
           4    -0.50904   -0.505662  0.00102273
           5   -0.503544   -0.505238 0.000901652
           6   -0.501264   -0.504576 0.000964475
           7   -0.503472   -0.504418 0.000839489
           8    -0.50556   -0.504561 0.000746585
           9   -0.503144   -0.504404  0.00068003
          10   -0.503616   -0.504325  0.00061657
          11      -0.505   -0.504386 0.000563566
          12   -0.506744   -0.504583 0.000549788
          13   -0.504848   -0.504603 0.000507875
          14    -0.50272   -0.504469 0.000489085
          15   -0.502608   -0.504345 0.000471946
          16    -0.50704   -0.504513  0.00047156
          17   -0.506104   -0.504607 0.000453013
          18   -0.506344   -0.504703 0.000438008
          19   -0.506016   -0.504772  0.00042037
          20   -0.503336     -0.5047 0.000405439
