#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00388545    0.232391           0
           2  0.00384886    0.232089   0.0297074
           3  0.00381339    0.232442   0.0242177
           4  0.00394199    0.232198   0.0210231
           5  0.00403741    0.232511    0.018894
           6  0.00395535    0.232447   0.0172638
           7  0.00387856    0.232231   0.0159647
           8  0.00390048    0.232095   0.0149272
           9  0.00382832    0.232223   0.0140615
          10  0.00385962    0.232491    0.013339
          11  0.00386209    0.232412   0.0127115
          12  0.00392843    0.232491   0.0121773
          13  0.00382339    0.232666   0.0116949
          14  0.00385817     0.23281   0.0112694
          15  0.00392367    0.232809   0.0108909
          16  0.00394412    0.232916   0.0105519
          17  0.00403789    0.232906   0.0102479
          18  0.00395152    0.232891  0.00996261
          19  0.00389303    0.232918  0.00969692
          20  0.00392416     0.23286   0.0094514
