#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.30909     1.30909           0
           2     1.39067     1.34988   0.0288446
           3     1.44843     1.38273    0.033003
           4     1.42773     1.39398    0.026601
           5     1.44075     1.40334   0.0228665
           6     1.47431     1.41516   0.0219024
           7     1.42043     1.41592   0.0187864
           8     1.41644     1.41598   0.0164382
           9     1.43388     1.41797   0.0147315
          10     1.46805     1.42298   0.0140837
          11     1.44734     1.42519   0.0129764
          12     1.42939     1.42554   0.0118997
          13     1.42737     1.42568   0.0109852
          14     1.42105     1.42535   0.0102055
          15     1.40464     1.42397  0.00961816
          16      1.4297     1.42433  0.00902368
          17     1.41785     1.42395  0.00850093
          18     1.45143     1.42548  0.00816464
          19     1.43371     1.42591  0.00774643
          20     1.41833     1.42553  0.00736838
