# BLOCK:    DISTANCE:    ACTUAL_GOFR:    AVE_GOFR:    ERROR:
         250   0.0128248           0           0           0
         250   0.0384745           0           0           0
         250   0.0641241           0           0           0
         250   0.0897737           0           0           0
         250    0.115423           0           0           0
         250    0.141073           0           0           0
         250    0.166723           0           0           0
         250    0.192372           0           0           0
         250    0.218022           0           0           0
         250    0.243672           0           0           0
         250    0.269321           0           0           0
         250    0.294971           0           0           0
         250     0.32062           0           0           0
         250     0.34627           0           0           0
         250     0.37192           0           0           0
         250    0.397569           0           0           0
         250    0.423219           0           0           0
         250    0.448869           0           0           0
         250    0.474518           0           0           0
         250    0.500168           0           0           0
         250    0.525818           0           0           0
         250    0.551467           0           0           0
         250    0.577117           0           0           0
         250    0.602767           0           0           0
         250    0.628416           0           0           0
         250    0.654066           0           0           0
         250    0.679715           0           0           0
         250    0.705365           0           0           0
         250    0.731015           0           0           0
         250    0.756664           0           0           0
         250    0.782314           0           0           0
         250    0.807964           0           0           0
         250    0.833613           0           0           0
         250    0.859263           0 5.85417e-06  2.6516e-06
         250    0.884913 0.000846488  0.00136472 5.38448e-05
         250    0.910562   0.0166761   0.0257358 0.000296676
         250    0.936212    0.177563    0.170839 0.000725318
         250    0.961861    0.570788    0.570992  0.00123916
         250    0.987511     1.21838     1.19725  0.00213067
         250     1.01316     1.87936     1.84158   0.0026327
         250     1.03881     2.34925     2.28695  0.00312751
         250     1.06446     2.48961     2.48815  0.00342434
         250     1.09011     2.49489     2.48021  0.00297417
         250     1.11576     2.27529     2.33896  0.00267328
         250     1.14141     2.11837      2.1322  0.00249575
         250     1.16706     1.90715     1.91852  0.00242376
         250     1.19271     1.70975     1.70309  0.00237406
         250     1.21836     1.51653     1.51785  0.00226216
         250     1.24401     1.34654     1.35213  0.00209254
         250     1.26966     1.24931     1.21405  0.00208651
         250     1.29531     1.10822     1.09588  0.00203072
         250     1.32096    0.963172    0.998432  0.00191168
         250     1.34661    0.885998    0.918554  0.00172829
         250     1.37226    0.835239    0.855215  0.00163377
         250     1.39791    0.770809    0.801014  0.00167247
         250     1.42355    0.790239    0.757439  0.00144319
         250      1.4492    0.730787    0.726049  0.00140931
         250     1.47485    0.667727    0.698756  0.00138114
         250      1.5005      0.6461    0.678369  0.00140095
         250     1.52615    0.664586    0.667049  0.00137348
         250      1.5518    0.648123    0.661481  0.00138777
         250     1.57745    0.653837    0.662835  0.00132259
         250      1.6031       0.673      0.6685  0.00133277
         250     1.62875    0.684527    0.679584  0.00122133
         250      1.6544    0.699771    0.696552  0.00122287
         250     1.68005    0.744821    0.718756  0.00128415
         250      1.7057    0.755083    0.745286   0.0012814
         250     1.73135    0.798323     0.77487  0.00121298
         250       1.757    0.829552    0.809312   0.0012898
         250     1.78265    0.843757    0.847548  0.00133649
         250      1.8083    0.872203    0.887485  0.00129421
         250     1.83395    0.915104    0.927077  0.00139392
         250      1.8596    0.975929    0.967428  0.00128458
         250     1.88525     1.05453     1.00879   0.0012864
         250      1.9109     1.08764     1.04462  0.00133347
         250     1.93655       1.127     1.08255  0.00133258
         250      1.9622     1.12089     1.11736  0.00135857
         250     1.98785     1.18003     1.14729  0.00128101
         250      2.0135     1.17479     1.17058  0.00127069
         250     2.03915     1.15858     1.18797  0.00127642
         250      2.0648     1.17185     1.19784  0.00122543
         250     2.09045     1.15926      1.1965  0.00127033
         250      2.1161     1.15867     1.19046  0.00119644
         250     2.14174     1.15235     1.17583  0.00126544
         250     2.16739      1.1245     1.15659  0.00132407
         250     2.19304     1.10933      1.1328   0.0012541
         250     2.21869     1.05495     1.10628  0.00118499
         250     2.24434     1.05501     1.07891  0.00120641
         250     2.26999     1.04288     1.04971  0.00121861
         250     2.29564     1.04002     1.02159  0.00111258
         250     2.32129     1.00551    0.995216  0.00114279
         250     2.34694    0.971588    0.970225  0.00112917
         250     2.37259    0.962222    0.950376  0.00119463
         250     2.39824     0.92591    0.931126  0.00111084
         250     2.42389    0.923737    0.916482  0.00105044
         250     2.44954    0.926588     0.90458  0.00104005
         250     2.47519    0.914085    0.895019  0.00102356
         250     2.50084    0.897662    0.887769  0.00103965
         250     2.52649     0.89779    0.883843  0.00094165
         250     2.55214    0.883128    0.884694  0.00100497

