#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.68175     1.68175           0
           2     1.66682     1.67429  0.00527849
           3     1.66637     1.67165  0.00412589
           4      1.6397     1.66366  0.00757764
           5     1.67316     1.66556  0.00629572
           6     1.68541     1.66887  0.00605338
           7     1.67457     1.66968  0.00524306
           8     1.68148     1.67116  0.00479072
           9      1.6613     1.67006   0.0043819
          10     1.65544      1.6686  0.00418055
          11     1.66335     1.66812  0.00382769
          12     1.66865     1.66817  0.00350897
          13     1.64143     1.66611    0.003794
          14      1.6556     1.66536  0.00359644
          15     1.67266     1.66585  0.00338946
          16     1.65417     1.66512  0.00325524
          17     1.66504     1.66511  0.00306376
          18     1.64141      1.6638  0.00316381
          19     1.66723     1.66398  0.00300245
          20     1.66417     1.66399  0.00285234
          21     1.65903     1.66375  0.00272627
          22     1.68738     1.66482  0.00280593
          23     1.68775     1.66582  0.00285548
          24     1.66091     1.66562  0.00274382
          25     1.66719     1.66568  0.00263478
          26     1.66848     1.66579  0.00253564
          27     1.67372     1.66608  0.00245871
          28     1.64927     1.66548  0.00244309
          29     1.65408     1.66509  0.00239027
          30      1.6667     1.66514  0.00231119
          31     1.64364     1.66445  0.00233836
          32     1.66035     1.66432   0.0022688
          33      1.6604      1.6642  0.00220315
          34     1.69205     1.66502  0.00228557
          35     1.67381     1.66527  0.00223404
          36     1.66271      1.6652  0.00217311
          37     1.68078     1.66562  0.00215481
          38     1.64773     1.66515  0.00214893
          39     1.64608     1.66466  0.00214874
          40     1.67135     1.66483  0.00210152
          41     1.65125      1.6645  0.00207618
          42     1.66806     1.66458  0.00202847
          43     1.67472     1.66482  0.00199494
          44     1.65871     1.66468  0.00195443
          45      1.7139     1.66577  0.00219585
          46     1.66113     1.66567  0.00215043
          47     1.66096     1.66557  0.00210702
          48     1.64906     1.66523  0.00209102
          49     1.65475     1.66501  0.00205926
          50     1.67655     1.66524  0.00203097
          51     1.68215     1.66558  0.00201803
          52     1.66445     1.66555  0.00197934
          53      1.6817     1.66586   0.0019653
          54     1.68108     1.66614  0.00194902
          55     1.66477     1.66612  0.00191374
          56     1.66083     1.66602   0.0018819
          57     1.65823     1.66588  0.00185384
          58     1.66451     1.66586  0.00182203
          59     1.68025      1.6661  0.00180739
          60     1.67045     1.66618  0.00177872
          61      1.6756     1.66633  0.00175626
          62     1.63078     1.66576  0.00181913
          63     1.66446     1.66574  0.00179037
          64     1.67331     1.66586   0.0017663
          65      1.6679     1.66589   0.0017394
          66     1.68325     1.66615  0.00173282
          67     1.66953      1.6662  0.00170769
          68     1.66059     1.66612  0.00168458
          69     1.65298     1.66593  0.00167088
          70     1.65948     1.66584  0.00164955
          71     1.67651     1.66599  0.00163315
          72      1.6574     1.66587  0.00161482
          73     1.64459     1.66558   0.0016188
          74     1.65675     1.66546  0.00160131
          75     1.64584     1.66519  0.00160118
          76     1.65526     1.66506  0.00158544
          77     1.67847     1.66524  0.00157438
          78     1.67175     1.66532  0.00155641
          79     1.64945     1.66512  0.00154962
          80     1.65806     1.66503  0.00153276
          81     1.65987     1.66497  0.00151516
          82     1.65634     1.66486  0.00150033
          83     1.66229     1.66483  0.00148257
          84       1.682     1.66504  0.00147894
          85      1.6694     1.66509  0.00146243
          86     1.65643     1.66499  0.00144888
          87     1.68687     1.66524   0.0014539
          88      1.6782     1.66539  0.00144483
          89     1.61772     1.66485  0.00152464
          90     1.66853     1.66489  0.00150825
          91     1.67133     1.66496  0.00149333
          92     1.68086     1.66514  0.00148706
          93     1.67044     1.66519  0.00147216
          94     1.65959     1.66513  0.00145771
          95      1.6603     1.66508  0.00144325
          96      1.6553     1.66498  0.00143181
          97     1.65202     1.66485  0.00142326
          98     1.64274     1.66462   0.0014265
          99     1.67148     1.66469  0.00141378
         100     1.63473     1.66439  0.00143102
         101     1.66566      1.6644  0.00141691
         102      1.6861     1.66462   0.0014189
         103     1.67044     1.66467  0.00140625
         104     1.67013     1.66472  0.00139371
         105     1.66655     1.66474  0.00138055
         106     1.66905     1.66478  0.00136812
         107     1.66651      1.6648  0.00135543
         108     1.66846     1.66483   0.0013433
         109     1.67647     1.66494  0.00133521
         110     1.63624     1.66468  0.00134833
         111     1.63326      1.6644  0.00136557
         112     1.65795     1.66434  0.00135459
         113     1.65271     1.66423  0.00134651
         114     1.67916     1.66437  0.00134105
         115      1.6567      1.6643  0.00133104
         116     1.65797     1.66424  0.00132069
         117     1.66202     1.66423  0.00130954
         118     1.70137     1.66454  0.00133573
         119     1.65722     1.66448  0.00132592
         120     1.66177     1.66446  0.00131506
         121     1.64757     1.66432  0.00131158
         122     1.68118     1.66446  0.00130809
         123     1.67303     1.66452  0.00129931
         124      1.6721     1.66459  0.00129027
         125      1.6626     1.66457  0.00128005
         126     1.64047     1.66438  0.00128409
         127     1.66301     1.66437  0.00127403
         128     1.69112     1.66458  0.00128111
         129     1.66246     1.66456  0.00127128
         130     1.67191     1.66462  0.00126276
         131     1.66416     1.66461  0.00125313
         132     1.67869     1.66472  0.00124816
         133     1.66096     1.66469   0.0012391
         134     1.66493     1.66469  0.00122985
         135     1.64077     1.66452  0.00123344
         136      1.6528     1.66443  0.00122738
         137     1.66753     1.66445  0.00121863
         138     1.65536     1.66439  0.00121158
         139     1.64169     1.66422  0.00121381
         140     1.64822     1.66411  0.00121051
         141     1.64728     1.66399   0.0012078
         142     1.64417     1.66385  0.00120733
         143     1.66033     1.66383  0.00119914
         144     1.63764     1.66364  0.00120452
         145     1.65961     1.66362  0.00119653
         146      1.6539     1.66355  0.00119019
         147     1.65423     1.66349  0.00118378
         148     1.65816     1.66345  0.00117633
         149      1.6514     1.66337  0.00117121
         150     1.66115     1.66335   0.0011635
         151     1.66115     1.66334  0.00115588
         152     1.66726     1.66337  0.00114857
         153     1.63269     1.66317  0.00115843
         154     1.68413      1.6633  0.00115888
         155     1.65599     1.66325  0.00115236
         156     1.66851     1.66329  0.00114547
         157     1.68238     1.66341   0.0011446
         158     1.65588     1.66336  0.00113835
         159     1.68817     1.66352  0.00114183
         160     1.68425     1.66365  0.00114202
         161     1.65998     1.66362  0.00113516
         162     1.65947      1.6636  0.00112844
         163     1.64875     1.66351  0.00112519
         164     1.67274     1.66356  0.00111973
         165     1.67066     1.66361  0.00111377
         166     1.64346     1.66349  0.00111365
         167     1.66283     1.66348  0.00110699
         168     1.66178     1.66347  0.00110045
         169     1.67626     1.66355  0.00109654
         170      1.6806     1.66365  0.00109467
         171     1.66337     1.66365  0.00108827
         172      1.6803     1.66374  0.00108624
         173     1.68194     1.66385  0.00108504
         174     1.67529     1.66391  0.00108079
         175     1.64478      1.6638  0.00108013
         176     1.64878     1.66372  0.00107737
         177      1.6992     1.66392  0.00108977
         178     1.66632     1.66393  0.00108373
         179     1.66653     1.66395  0.00107778
         180     1.67903     1.66403  0.00107504
         181     1.65406     1.66398  0.00107051
         182     1.67391     1.66403  0.00106602
         183     1.66361     1.66403   0.0010602
         184     1.66558     1.66404  0.00105447
         185      1.6505     1.66396  0.00105131
         186     1.64563     1.66387  0.00105026
         187     1.66061     1.66385  0.00104479
         188     1.65976     1.66383  0.00103946
         189     1.67468     1.66388  0.00103554
         190     1.64088     1.66376  0.00103715
         191     1.67562     1.66382  0.00103357
         192     1.64302     1.66372  0.00103385
         193     1.65733     1.66368  0.00102903
         194     1.67839     1.66376  0.00102651
         195     1.65493     1.66371  0.00102225
         196     1.64369     1.66361  0.00102213
         197     1.62655     1.66342  0.00103411
         198     1.67378     1.66348  0.00103021
         199     1.68628     1.66359  0.00103138
         200     1.64088     1.66348  0.00103246
         201      1.6783     1.66355  0.00102996
         202     1.65093     1.66349  0.00102675
         203     1.65104     1.66343  0.00102352
         204     1.64922     1.66336  0.00102087
         205     1.64975     1.66329  0.00101805
         206     1.66641     1.66331  0.00101322
         207     1.68087     1.66339  0.00101187
         208     1.66808     1.66341  0.00100726
         209     1.65286     1.66336  0.00100371
         210     1.68067     1.66345   0.0010023
         211     1.66855     1.66347 0.000997846
         212     1.66788     1.66349 0.000993356
         213      1.6686     1.66351 0.000988982
         214     1.64916     1.66345 0.000986634
         215     1.64922     1.66338 0.000984262
         216     1.64445     1.66329 0.000983601
         217     1.66839     1.66332 0.000979349
         218     1.65384     1.66327  0.00097582
         219     1.68637     1.66338 0.000977046
         220      1.6416     1.66328 0.000977608
         221     1.65316     1.66323 0.000974257
         222     1.65371     1.66319 0.000970812
         223      1.6705     1.66322 0.000967012
         224     1.65837      1.6632 0.000962937
         225     1.67621     1.66326 0.000960393
         226     1.66065     1.66325 0.000956213
         227     1.65422     1.66321 0.000952827
         228     1.63894      1.6631 0.000954573
         229      1.6673     1.66312  0.00095058
         230     1.67371     1.66317 0.000947562
         231     1.67118      1.6632 0.000944095
         232     1.65768     1.66318 0.000940325
         233     1.66445     1.66318 0.000936305
         234     1.66198     1.66318 0.000932318
         235     1.65391     1.66314 0.000929185
         236     1.66677     1.66315 0.000925375
         237     1.66195     1.66315 0.000921485
         238     1.68796     1.66325 0.000923493
         239     1.64906     1.66319 0.000921538
         240     1.66009     1.66318 0.000917788
         241     1.67455     1.66323 0.000915193
         242      1.6669     1.66324 0.000911537
         243     1.65169      1.6632 0.000909025
         244      1.6471     1.66313  0.00090769
         245     1.64196     1.66304 0.000908087
         246     1.64883     1.66299 0.000906232
         247     1.65521     1.66295  0.00090311
         248     1.68512     1.66304  0.00090388
         249     1.67538     1.66309 0.000901607
         250     1.65416     1.66306 0.000898709
