#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.12117     1.12117           0
           2     1.11121     1.11619  0.00351899
           3     1.11091     1.11443  0.00275059
           4     1.09313     1.10911  0.00505176
           5     1.11544     1.11037  0.00419715
           6      1.1236     1.11258  0.00403559
           7     1.11638     1.11312  0.00349537
           8     1.12099      1.1141  0.00319381
           9     1.10753     1.11337  0.00292126
          10     1.10363      1.1124  0.00278703
          11      1.1089     1.11208  0.00255179
          12     1.11243     1.11211  0.00233931
          13     1.09429     1.11074  0.00252933
          14     1.10374     1.11024  0.00239762
          15     1.11511     1.11056  0.00225964
          16     1.10278     1.11008  0.00217016
          17     1.11003     1.11007   0.0020425
          18     1.09428      1.1092  0.00210921
          19     1.11148     1.10932  0.00200163
          20     1.10945     1.10932  0.00190156
          21     1.10602     1.10917  0.00181751
          22     1.12492     1.10988  0.00187062
          23     1.12517     1.11055  0.00190365
          24     1.10727     1.11041  0.00182921
          25     1.11146     1.11045  0.00175652
          26     1.11232     1.11052  0.00169043
          27     1.11582     1.11072  0.00163914
          28     1.09951     1.11032  0.00162872
          29     1.10272     1.11006  0.00159351
          30     1.11113     1.11009   0.0015408
          31     1.09576     1.10963  0.00155891
          32      1.1069     1.10955  0.00151253
          33     1.10693     1.10947  0.00146877
          34     1.12803     1.11001  0.00152371
          35     1.11588     1.11018  0.00148936
          36     1.10847     1.11013  0.00144874
          37     1.12052     1.11041  0.00143654
          38     1.09849      1.1101  0.00143262
          39     1.09739     1.10977   0.0014325
          40     1.11423     1.10989  0.00140101
          41     1.10084     1.10966  0.00138412
          42     1.11204     1.10972  0.00135232
          43     1.11648     1.10988  0.00132996
          44      1.1058     1.10979  0.00130296
          45      1.1426     1.11051   0.0014639
          46     1.10742     1.11045  0.00143362
          47     1.10731     1.11038  0.00140468
          48     1.09937     1.11015  0.00139401
          49     1.10316     1.11001  0.00137284
          50      1.1177     1.11016  0.00135398
          51     1.12144     1.11038  0.00134535
          52     1.10963     1.11037  0.00131956
          53     1.12113     1.11057   0.0013102
          54     1.12072     1.11076  0.00129935
          55     1.10985     1.11074  0.00127583
          56     1.10722     1.11068   0.0012546
          57     1.10549     1.11059  0.00123589
          58     1.10967     1.11057  0.00121468
          59     1.12017     1.11074  0.00120493
          60     1.11363     1.11078  0.00118581
          61     1.11707     1.11089  0.00117084
          62     1.08719     1.11051  0.00121275
          63     1.10964     1.11049  0.00119358
          64     1.11554     1.11057  0.00117753
          65     1.11193     1.11059   0.0011596
          66     1.12216     1.11077  0.00115521
          67     1.11302      1.1108  0.00113846
          68     1.10706     1.11075  0.00112305
          69     1.10199     1.11062  0.00111392
          70     1.10632     1.11056   0.0010997
          71     1.11767     1.11066  0.00108877
          72     1.10493     1.11058  0.00107655
          73     1.09639     1.11038   0.0010792
          74      1.1045      1.1103  0.00106754
          75     1.09723     1.11013  0.00106745
          76     1.10351     1.11004  0.00105696
          77     1.11898     1.11016  0.00104959
          78      1.1145     1.11021  0.00103761
          79     1.09964     1.11008  0.00103308
          80     1.10537     1.11002  0.00102184
          81     1.10658     1.10998   0.0010101
          82     1.10423     1.10991  0.00100022
          83      1.1082     1.10989 0.000988382
          84     1.12133     1.11002 0.000985958
          85     1.11293     1.11006 0.000974952
          86     1.10429     1.10999 0.000965923
          87     1.12458     1.11016 0.000969269
          88      1.1188     1.11026 0.000963219
          89     1.07848      1.1099  0.00101642
          90     1.11235     1.10993   0.0010055
          91     1.11422     1.10997 0.000995552
          92     1.12057     1.11009 0.000991373
          93     1.11362     1.11013 0.000981442
          94     1.10639     1.11009 0.000971804
          95     1.10686     1.11005 0.000962167
          96     1.10354     1.10999 0.000954538
          97     1.10135      1.1099 0.000948843
          98     1.09516     1.10975 0.000951002
          99     1.11432     1.10979 0.000942518
         100     1.08982     1.10959 0.000954016
         101     1.11044      1.1096 0.000944607
         102     1.12407     1.10974 0.000945935
         103     1.11363     1.10978 0.000937503
         104     1.11342     1.10982 0.000929142
         105     1.11103     1.10983 0.000920365
         106      1.1127     1.10986 0.000912081
         107       1.111     1.10987  0.00090362
         108     1.11231     1.10989 0.000895536
         109     1.11764     1.10996 0.000890142
         110     1.09083     1.10979 0.000898885
         111     1.08884      1.1096 0.000910382
         112      1.1053     1.10956 0.000903061
         113      1.1018     1.10949 0.000897673
         114     1.11944     1.10958 0.000894032
         115     1.10447     1.10953 0.000887362
         116     1.10531      1.1095 0.000880458
         117     1.10802     1.10948 0.000873024
         118     1.13424     1.10969 0.000890486
         119     1.10481     1.10965 0.000883946
         120     1.10785     1.10964 0.000876708
         121     1.09838     1.10954 0.000874384
         122     1.12079     1.10964  0.00087206
         123     1.11535     1.10968 0.000866208
         124     1.11473     1.10972  0.00086018
         125      1.1084     1.10971 0.000853364
         126     1.09365     1.10959 0.000856063
         127     1.10867     1.10958 0.000849352
         128     1.12742     1.10972 0.000854072
         129     1.10831     1.10971 0.000847521
         130     1.11461     1.10974  0.00084184
         131     1.10944     1.10974 0.000835417
         132     1.11913     1.10981 0.000832108
         133      1.1073     1.10979 0.000826065
         134     1.10995      1.1098 0.000819901
         135     1.09385     1.10968 0.000822296
         136     1.10187     1.10962 0.000818252
         137     1.11169     1.10964 0.000812419
         138     1.10357     1.10959  0.00080772
         139     1.09446     1.10948 0.000809209
         140     1.09882     1.10941 0.000807007
         141     1.09819     1.10933 0.000805197
         142     1.09611     1.10923 0.000804885
         143     1.10688     1.10922 0.000799424
         144     1.09176      1.1091 0.000803013
         145     1.10641     1.10908 0.000797689
         146      1.1026     1.10903 0.000793458
         147     1.10282     1.10899 0.000789187
         148     1.10544     1.10897 0.000784218
         149     1.10093     1.10891 0.000780807
         150     1.10744      1.1089 0.000775664
         151     1.10743     1.10889 0.000770588
