#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77712    -3.77712           0
           2    -3.77647    -3.77679 0.000231763
           3    -3.77688    -3.77682 0.000156167
           4    -3.77598    -3.77661 0.000217155
           5    -3.77538    -3.77636 0.000280971
           6    -3.77747    -3.77655 0.000288252
           7    -3.77653    -3.77654 0.000247091
           8    -3.77647    -3.77654  0.00021639
           9    -3.77776    -3.77667 0.000230941
          10     -3.7757    -3.77657 0.000227533
          11    -3.77604    -3.77652 0.000211958
          12    -3.77794    -3.77664 0.000224802
          13    -3.77631    -3.77662 0.000209001
          14    -3.77635     -3.7766 0.000194934
          15    -3.77606    -3.77656 0.000185206
          16    -3.77659    -3.77656 0.000173641
          17    -3.77485    -3.77646  0.00019055
          18     -3.7753     -3.7764 0.000190619
          19    -3.77678    -3.77642 0.000181657
          20    -3.77569    -3.77638 0.000176162
          21    -3.77709    -3.77642 0.000170959
          22    -3.77701    -3.77644 0.000165274
          23     -3.7779    -3.77651 0.000169848
          24    -3.77743    -3.77654 0.000167086
          25    -3.77645    -3.77654 0.000160443
          26    -3.77715    -3.77656 0.000155954
          27    -3.77696    -3.77658 0.000150851
          28    -3.77628    -3.77657  0.00014583
          29    -3.77729    -3.77659 0.000142887
          30    -3.77654    -3.77659 0.000138136
          31     -3.7791    -3.77667 0.000155552
          32    -3.77703    -3.77668 0.000151091
          33    -3.77514    -3.77664 0.000153572
          34    -3.77703    -3.77665  0.00014948
          35    -3.77724    -3.77666 0.000146151
          36    -3.77724    -3.77668  0.00014297
          37    -3.77878    -3.77674 0.000149911
          38    -3.77771    -3.77676 0.000148146
          39    -3.77616    -3.77675 0.000145165
          40    -3.77805    -3.77678 0.000145121
          41    -3.77683    -3.77678 0.000141586
          42    -3.77661    -3.77678 0.000138276
          43    -3.77661    -3.77677 0.000135118
          44    -3.77678    -3.77677 0.000132047
          45     -3.7772    -3.77678 0.000129455
          46    -3.77609    -3.77677 0.000127502
          47    -3.77627    -3.77676 0.000125234
          48    -3.77615    -3.77674 0.000123261
          49    -3.77772    -3.77676 0.000122339
          50    -3.77738    -3.77678 0.000120516
          51    -3.77609    -3.77676 0.000118898
          52    -3.77743    -3.77678 0.000117311
          53    -3.77661    -3.77677 0.000115141
          54    -3.77725    -3.77678 0.000113343
          55    -3.77707    -3.77679 0.000111401
          56     -3.7756    -3.77677 0.000111425
          57    -3.77604    -3.77675 0.000110193
          58    -3.77627    -3.77674 0.000108613
          59    -3.77897    -3.77678 0.000113154
          60    -3.77564    -3.77676 0.000112863
          61    -3.77752    -3.77678 0.000111684
          62    -3.77724    -3.77678 0.000110135
          63    -3.77577    -3.77677 0.000109553
          64    -3.77682    -3.77677 0.000107845
          65    -3.77708    -3.77677 0.000106292
          66    -3.77714    -3.77678 0.000104828
          67    -3.77746    -3.77679 0.000103752
          68    -3.77785     -3.7768 0.000103403
          69    -3.77635     -3.7768 0.000102114
          70    -3.77673     -3.7768  0.00010066
          71    -3.77784    -3.77681 0.000100308
          72    -3.77643    -3.77681  9.9055e-05
          73    -3.77678    -3.77681 9.76986e-05
          74    -3.77711    -3.77681 9.64669e-05
          75    -3.77524    -3.77679 9.74232e-05
          76    -3.77529    -3.77677 9.81137e-05
          77    -3.77692    -3.77677 9.68588e-05
          78     -3.7781    -3.77679 9.71119e-05
          79     -3.7758    -3.77678 9.66843e-05
          80    -3.77568    -3.77676 9.64484e-05
          81    -3.77573    -3.77675 9.60942e-05
          82    -3.77669    -3.77675 9.49252e-05
          83    -3.77857    -3.77677 9.62983e-05
          84    -3.77677    -3.77677 9.51519e-05
