# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           1        0.04           0           0           0
           1        0.12           0           0           0
           1         0.2           0           0           0
           1        0.28 5.78704e-05 5.78704e-05           0
           1        0.36 0.000231481 0.000231481           0
           1        0.44 0.000520833 0.000520833           0
           1        0.52   0.0663773   0.0663773           0
           1         0.6   0.0340278   0.0340278           0
           1        0.68     0.14647     0.14647           0
           1        0.76   0.0904514   0.0904514           0
           1        0.84    0.132118    0.132118           0
           1        0.92   0.0618056   0.0618056           0
           1           1    0.218808    0.218808           0
           1        1.08    0.170602    0.170602           0
           1        1.16    0.105093    0.105093           0
           1        1.24    0.144329    0.144329           0
           1        1.32    0.229514    0.229514           0
           1         1.4    0.310359    0.310359           0
           1        1.48    0.518981    0.518981           0
           1        1.56    0.298032    0.298032           0
           1        1.64    0.270833    0.270833           0
           1        1.72    0.460359    0.460359           0
           1         1.8    0.316898    0.316898           0
           1        1.88    0.518403    0.518403           0
           1        1.96    0.417766    0.417766           0
           1        2.04    0.676794    0.676794           0
           1        2.12    0.553993    0.553993           0
           1         2.2    0.301505    0.301505           0
           1        2.28    0.245197    0.245197           0
           1        2.36    0.449248    0.449248           0
           1        2.44    0.539873    0.539873           0
           1        2.52    0.627083    0.627083           0
           1         2.6    0.494039    0.494039           0
           1        2.68    0.239583    0.239583           0
           1        2.76    0.363021    0.363021           0
           1        2.84    0.414005    0.414005           0
           1        2.92    0.283738    0.283738           0
           1           3    0.325174    0.325174           0
           1        3.08    0.232465    0.232465           0
           1        3.16    0.420544    0.420544           0
           1        3.24    0.318171    0.318171           0
           1        3.32    0.266146    0.266146           0
           1         3.4    0.123611    0.123611           0
           1        3.48    0.119502    0.119502           0
           1        3.56    0.206771    0.206771           0
           1        3.64    0.150405    0.150405           0
           1        3.72   0.0403356   0.0403356           0
           1         3.8   0.0434028   0.0434028           0
           1        3.88   0.0395255   0.0395255           0
           1        3.96    0.106134    0.106134           0
           1        4.04   0.0737847   0.0737847           0
           1        4.12   0.0594329   0.0594329           0
           1         4.2   0.0184028   0.0184028           0
           1        4.28  0.00607639  0.00607639           0
           1        4.36   0.0119792   0.0119792           0
           1        4.44    0.012037    0.012037           0
           1        4.52   0.0164352   0.0164352           0
           1         4.6  0.00422454  0.00422454           0
           1        4.68  0.00115741  0.00115741           0
           1        4.76  0.00208333  0.00208333           0
           1        4.84 0.000694444 0.000694444           0
           1        4.92 0.000115741 0.000115741           0
           1           5 0.000173611 0.000173611           0
           1        5.08 0.000173611 0.000173611           0
           1        5.16   0.0275463   0.0275463           0
           1        5.24  0.00792824  0.00792824           0
           1        5.32  0.00671296  0.00671296           0
           1         5.4   0.0228588   0.0228588           0
           1        5.48   0.0168981   0.0168981           0
           1        5.56  0.00324074  0.00324074           0
           1        5.64           0           0           0
           1        5.72           0           0           0
           1         5.8           0           0           0
           1        5.88           0           0           0
           1        5.96           0           0           0
           1        6.04           0           0           0
           1        6.12           0           0           0
           1         6.2           0           0           0
           1        6.28           0           0           0
           1        6.36           0           0           0
           1        6.44   0.0117477   0.0117477           0
           1        6.52   0.0258681   0.0258681           0
           1         6.6   0.0332755   0.0332755           0
           1        6.68   0.0101273   0.0101273           0
           1        6.76  0.00648148  0.00648148           0
           1        6.84   0.0282407   0.0282407           0
           1        6.92           0           0           0
           1           7           0           0           0
           1        7.08           0           0           0
           1        7.16           0           0           0
           1        7.24           0           0           0
           1        7.32           0           0           0
           1         7.4           0           0           0
           1        7.48           0           0           0
           1        7.56           0           0           0
           1        7.64           0           0           0
           1        7.72           0           0           0
           1         7.8           0           0           0
           1        7.88           0           0           0
           1        7.96           0           0           0

           2        0.04           0           0           0
           2        0.12           0           0           0
           2         0.2           0           0           0
           2        0.28           0 2.89352e-05 2.04603e-05
           2        0.36   0.0109375  0.00558449  0.00378515
           2        0.44   0.0181713  0.00934606  0.00624038
           2        0.52   0.0129051   0.0396412   0.0189053
           2         0.6   0.0258102    0.029919  0.00290536
           2        0.68   0.0199074   0.0831887   0.0447466
           2        0.76   0.0193287     0.05489   0.0251457
           2        0.84   0.0346644   0.0833912   0.0344551
           2        0.92   0.0980903   0.0799479   0.0128286
           2           1    0.150116    0.184462   0.0242863
           2        1.08     0.17228    0.171441 0.000593348
           2        1.16    0.229688     0.16739    0.044051
           2        1.24    0.408449    0.276389   0.0933807
           2        1.32    0.552951    0.391233    0.114352
           2         1.4      0.4114     0.36088   0.0357236
