#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.196428   -0.196428           0
           2   -0.318881   -0.257655   0.0432936
           3    -0.40563    -0.30698   0.0495482
           4   -0.374604   -0.323886   0.0399414
           5   -0.394058   -0.337921   0.0343303
           6   -0.444439   -0.355674     0.03288
           7   -0.363592   -0.356805   0.0282023
           8   -0.357586   -0.356902   0.0246772
           9    -0.38381   -0.359892   0.0221156
          10    -0.43506   -0.367409   0.0211429
          11   -0.404095   -0.370744   0.0194821
          12   -0.377013   -0.371266   0.0178656
          13    -0.37402   -0.371478   0.0164926
          14   -0.364455   -0.370977   0.0153222
          15   -0.339694   -0.368891   0.0144419
          16   -0.377467   -0.369427   0.0135493
          17   -0.359567   -0.368847   0.0127646
          18   -0.410016   -0.371134   0.0122587
          19    -0.38343   -0.371781   0.0116306
          20   -0.360296   -0.371207   0.0110632
