# BLOCK:    DISTANCE:    ACTUAL_GOFR:    AVE_GOFR:    ERROR:
         250   0.0128248           0           0           0
         250   0.0384745           0           0           0
         250   0.0641241           0           0           0
         250   0.0897737           0           0           0
         250    0.115423           0           0           0
         250    0.141073           0           0           0
         250    0.166723           0           0           0
         250    0.192372           0           0           0
         250    0.218022           0           0           0
         250    0.243672           0           0           0
         250    0.269321           0           0           0
         250    0.294971           0           0           0
         250     0.32062           0           0           0
         250     0.34627           0           0           0
         250     0.37192           0           0           0
         250    0.397569           0           0           0
         250    0.423219           0           0           0
         250    0.448869           0           0           0
         250    0.474518           0           0           0
         250    0.500168           0           0           0
         250    0.525818           0           0           0
         250    0.551467           0           0           0
         250    0.577117           0           0           0
         250    0.602767           0           0           0
         250    0.628416           0           0           0
         250    0.654066           0           0           0
         250    0.679715           0           0           0
         250    0.705365           0           0           0
         250    0.731015           0           0           0
         250    0.756664           0           0           0
         250    0.782314           0           0           0
         250    0.807964           0           0           0
         250    0.833613           0           0           0
         250    0.859263           0 1.18972e-05 1.95455e-06
         250    0.884913  0.00142566  0.00125886 2.21449e-05
         250    0.910562   0.0250563   0.0234453 0.000117494
         250    0.936212    0.158308    0.160632 0.000380059
         250    0.961861    0.552344     0.55019 0.000803099
         250    0.987511     1.17098     1.17203  0.00113929
         250     1.01316     1.83665     1.81671  0.00129146
         250     1.03881     2.30247     2.27995  0.00125248
         250     1.06446     2.49911     2.49236  0.00100449
         250     1.09011     2.48037     2.49122 0.000921761
         250     1.11576      2.3571     2.35322 0.000961285
         250     1.14141     2.13801      2.1511 0.000992112
         250     1.16706     1.93067     1.92992 0.000966568
         250     1.19271     1.70619     1.71806 0.000961645
         250     1.21836     1.53671     1.52714 0.000930186
         250     1.24401     1.36506      1.3608 0.000810129
         250     1.26966     1.19808     1.21972 0.000777546
         250     1.29531     1.10531     1.10173 0.000742314
         250     1.32096     1.01262     1.00382 0.000624118
         250     1.34661    0.928394    0.923137 0.000629653
         250     1.37226    0.867283    0.856188 0.000565327
         250     1.39791    0.810719    0.802227 0.000524049
         250     1.42355    0.767944    0.759206 0.000484062
         250      1.4492    0.730065    0.724915   0.0004806
         250     1.47485    0.702512    0.698537 0.000463002
         250      1.5005    0.682146    0.679629 0.000451778
         250     1.52615    0.661811    0.667226 0.000499071
         250      1.5518    0.658332    0.660293 0.000479838
         250     1.57745     0.64989     0.65971 0.000481019
         250      1.6031    0.658548    0.664803 0.000498604
         250     1.62875    0.667497     0.67468 0.000477911
         250      1.6544    0.683262    0.690634 0.000472971
         250     1.68005    0.704388    0.712567 0.000466088
         250      1.7057    0.731119    0.738305 0.000451158
         250     1.73135    0.763231    0.768998 0.000468105
         250       1.757     0.80424     0.80383 0.000479477
         250     1.78265    0.839112    0.841529 0.000503295
         250      1.8083    0.874747    0.881868 0.000488585
         250     1.83395    0.923821    0.922963  0.00048528
         250      1.8596     0.96663    0.964934 0.000499319
         250     1.88525     1.01088     1.00517 0.000497414
         250      1.9109     1.05068     1.04458 0.000504006
         250     1.93655      1.0895     1.08215 0.000484853
         250      1.9622     1.12072     1.11644 0.000449194
         250     1.98785      1.1519     1.14674 0.000438341
         250      2.0135     1.18293     1.17102  0.00041738
         250     2.03915     1.20101     1.18862 0.000448574
         250      2.0648     1.20256     1.19838 0.000441845
         250     2.09045     1.19957     1.20054  0.00042482
         250      2.1161     1.19235     1.19408 0.000413064
         250     2.14174     1.17674     1.18017 0.000472688
         250     2.16739     1.15864     1.16063 0.000472159
         250     2.19304     1.12592     1.13735 0.000514145
         250     2.21869     1.10299     1.11086 0.000518902
         250     2.24434     1.08022     1.08274 0.000497814
         250     2.26999     1.05293     1.05447 0.000467107
         250     2.29564     1.02819      1.0268 0.000480403
         250     2.32129     1.00289     1.00108 0.000425538
         250     2.34694    0.979056    0.977099 0.000413599
         250     2.37259    0.962222    0.955836 0.000410181
         250     2.39824     0.94247    0.936938 0.000375966
         250     2.42389    0.922207    0.921732 0.000367246
         250     2.44954    0.911303    0.908747 0.000378566
         250     2.47519    0.899472    0.898955  0.00038028
         250     2.50084    0.887217    0.885746 0.000369739
         250     2.52649    0.873404    0.876361 0.000385744
         250     2.55214    0.871803    0.876914  0.00036768

