#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45824    -5.45824           0
           2    -5.48047    -5.46935   0.0078617
           3    -5.47748    -5.47206  0.00568856
           4    -5.47922    -5.47385  0.00453929
           5    -5.49196    -5.47747  0.00486637
           6    -5.46301    -5.47506  0.00461377
           7    -5.43849    -5.46984  0.00624843
           8    -5.46771    -5.46957  0.00547304
           9    -5.44494    -5.46684  0.00550679
          10    -5.45621    -5.46577  0.00505755
          11    -5.45493    -5.46479  0.00469278
          12    -5.46292    -5.46463  0.00430429
          13    -5.45562    -5.46394  0.00402869
          14    -5.45251    -5.46312  0.00382268
          15    -5.47391    -5.46384  0.00363486
          16    -5.47742    -5.46469  0.00350531
          17    -5.45232    -5.46396  0.00337374
          18    -5.48384    -5.46507  0.00336226
          19    -5.47503    -5.46559  0.00322589
          20    -5.46191    -5.46541  0.00306983
          21    -5.45904     -5.4651  0.00293857
          22    -5.47763    -5.46567  0.00285963
          23    -5.43851    -5.46449  0.00296911
          24    -5.47272    -5.46484  0.00286513
          25    -5.47647     -5.4653  0.00278808
          26    -5.45117    -5.46476  0.00273334
          27    -5.44156     -5.4639  0.00276386
          28    -5.45566     -5.4636  0.00268075
          29    -5.45672    -5.46337  0.00259881
          30    -5.46391    -5.46339  0.00251224
          31    -5.46505    -5.46344  0.00243178
          32     -5.4283    -5.46234  0.00259182
          33    -5.47624    -5.46276  0.00254727
          34    -5.47035    -5.46299  0.00248211
          35     -5.4601     -5.4629  0.00241256
          36    -5.47115    -5.46313  0.00235641
          37    -5.49082    -5.46388  0.00240861
          38    -5.47931    -5.46429  0.00237919
          39    -5.48439     -5.4648   0.0023734
          40    -5.49591    -5.46558  0.00243816
          41    -5.45709    -5.46537  0.00238747
          42    -5.47262    -5.46555  0.00233685
          43    -5.47034    -5.46566  0.00228517
          44    -5.46876    -5.46573  0.00223432
          45    -5.44119    -5.46518  0.00225025
          46    -5.45819    -5.46503  0.00220645
          47    -5.49216    -5.46561  0.00223375
          48     -5.4768    -5.46584  0.00219936
          49    -5.46745    -5.46587  0.00215472
          50     -5.4626    -5.46581  0.00211262
          51     -5.4786    -5.46606  0.00208603
          52    -5.46787    -5.46609   0.0020462
          53    -5.44893    -5.46577  0.00203305
          54    -5.46698    -5.46579  0.00199552
          55    -5.47183     -5.4659  0.00196226
          56    -5.47154      -5.466   0.0019298
          57    -5.45803    -5.46586  0.00190101
          58    -5.45689    -5.46571  0.00187451
          59    -5.47095     -5.4658  0.00184485
          60    -5.45306    -5.46558  0.00182627
          61    -5.45515    -5.46541  0.00180433
          62    -5.46459     -5.4654  0.00177528
          63     -5.4968     -5.4659  0.00181573
          64    -5.45816    -5.46578  0.00179138
          65    -5.47063    -5.46585  0.00176537
          66    -5.46107    -5.46578  0.00174011
          67    -5.45387     -5.4656  0.00172319
          68    -5.44785    -5.46534  0.00171751
          69    -5.45778    -5.46523  0.00169611
          70    -5.46019    -5.46516  0.00167341
          71    -5.45658    -5.46504   0.0016542
          72    -5.45441    -5.46489  0.00163779
          73    -5.51221    -5.46554  0.00173892
          74    -5.45906    -5.46545  0.00171763
          75    -5.42675    -5.46494  0.00177055
          76    -5.47032    -5.46501  0.00174866
          77    -5.45538    -5.46488  0.00173042
          78    -5.45731    -5.46478  0.00171096
          79    -5.46439    -5.46478  0.00168931
          80    -5.47108    -5.46486  0.00167003
          81    -5.44801    -5.46465  0.00166231
          82    -5.45463    -5.46453  0.00164652
          83    -5.45338    -5.46439  0.00163216
          84    -5.45424    -5.46427   0.0016172
          85    -5.46859    -5.46432  0.00159897
          86    -5.47282    -5.46442  0.00158342
          87    -5.45275    -5.46429   0.0015709
          88    -5.45369    -5.46417  0.00155765
          89    -5.48618    -5.46442  0.00155967
          90     -5.4897     -5.4647  0.00156744
          91    -5.46936    -5.46475  0.00155106
          92    -5.46144    -5.46471  0.00153461
          93     -5.4631    -5.46469  0.00151821
          94    -5.47578    -5.46481  0.00150663
          95    -5.46979    -5.46486  0.00149168
          96    -5.48494    -5.46507  0.00149073
          97    -5.44232    -5.46484  0.00149369
          98    -5.46573    -5.46485  0.00147848
          99     -5.4852    -5.46505  0.00147776
         100    -5.48708    -5.46527  0.00147931
         101    -5.46929    -5.46531   0.0014652
         102    -5.47082    -5.46537  0.00145183
         103    -5.43912    -5.46511  0.00145993
         104    -5.46228    -5.46509  0.00144614
         105    -5.45589      -5.465  0.00143502
         106    -5.45391    -5.46489  0.00142529
         107     -5.4835    -5.46507  0.00142254
