#   N_BLOCK:  ACCEPTANCE:
           1       0.554
           2       0.545
           3    0.544333
           4     0.54275
           5      0.5528
           6      0.5535
           7       0.552
           8    0.549875
           9    0.550889
          10      0.5535
          11    0.553273
          12    0.554167
          13    0.553923
          14    0.554929
          15    0.555733
          16     0.55475
          17    0.555706
          18    0.555778
          19    0.557053
          20     0.55745
          21    0.556667
          22    0.556182
          23    0.556261
          24    0.555958
          25     0.55592
          26    0.555615
          27    0.554852
          28    0.555143
          29     0.55431
          30    0.554233
          31    0.554484
          32       0.554
          33    0.553394
          34    0.553147
          35    0.552771
          36     0.55225
          37     0.55173
          38    0.551026
          39     0.55059
          40      0.5509
          41    0.551585
          42    0.551214
          43     0.55093
          44    0.551068
          45      0.5518
          46    0.551957
          47    0.552106
          48     0.55225
          49     0.55251
          50     0.55288
          51    0.553059
          52    0.553269
          53     0.55366
          54     0.55387
          55    0.553691
          56    0.553661
          57    0.553368
          58      0.5535
          59    0.553288
          60    0.553817
          61    0.553672
          62    0.553629
          63    0.553587
          64    0.553422
          65    0.553169
          66    0.553258
          67    0.553075
          68    0.553471
          69    0.553377
          70    0.553457
          71    0.553535
          72    0.553444
          73    0.553027
          74    0.553203
          75     0.55288
          76    0.552711
          77    0.552312
          78    0.552256
          79    0.552051
          80     0.55215
          81    0.552086
          82    0.552293
          83    0.552554
          84    0.552321
          85    0.552506
          86    0.552488
          87    0.552241
          88    0.552216
          89    0.552247
          90    0.552156
          91    0.551934
          92    0.552141
          93    0.551828
          94    0.551702
          95    0.551611
          96    0.551156
          97    0.551155
          98    0.551224
          99    0.551162
         100     0.55118
