#     BLOCK:   ACTUAL_LE:     X_LE:       ERROR:
           1   -0.407231   -0.407231           0
           2   -0.493643   -0.450437   0.0305512
           3   -0.412095   -0.437656   0.0228852
           4   -0.459016   -0.442996    0.017776
           5   -0.427466    -0.43989   0.0144896
           6   -0.440703   -0.440026   0.0120753
           7   -0.485911   -0.446581   0.0119983
           8   -0.420156   -0.443278   0.0109437
           9   -0.412293   -0.439835    0.010255
          10   -0.474524   -0.443304  0.00979866
          11   -0.463803   -0.445167  0.00908336
          12    -0.46591   -0.446896  0.00848929
          13   -0.432854   -0.445816  0.00790468
          14   -0.431433   -0.444788  0.00740652
          15   -0.469229   -0.446418  0.00708971
          16   -0.432381   -0.445541  0.00670066
          17   -0.450028   -0.445804   0.0063117
          18    -0.42664    -0.44474  0.00605018
          19   -0.446456    -0.44483  0.00573243
          20    -0.44995   -0.445086  0.00545152
          21   -0.422934   -0.444031    0.005293
          22   -0.450543   -0.444327  0.00506068
          23   -0.423807   -0.443435  0.00491866
          24   -0.397366   -0.441515  0.00507447
          25   -0.449969   -0.441854  0.00488275
          26   -0.476483   -0.443186  0.00487322
          27   -0.439559   -0.443051  0.00469458
          28   -0.471106   -0.444053   0.0046326
          29   -0.420554   -0.443243  0.00454318
          30   -0.435517   -0.442985  0.00439903
          31   -0.430793   -0.442592  0.00427467
          32    -0.44484   -0.442662  0.00414166
          33   -0.443064   -0.442674  0.00401618
          34    -0.40205    -0.44148  0.00407191
          35   -0.440831   -0.441461  0.00395561
          36    -0.46036   -0.441986  0.00388041
          37   -0.410638   -0.441139  0.00386692
          38   -0.455483   -0.441516  0.00378354
          39   -0.420624   -0.440981  0.00372426
          40   -0.435492   -0.440843  0.00363368
          41   -0.469723   -0.441548  0.00361268
          42    -0.43443   -0.441378  0.00353064
          43   -0.386162   -0.440094  0.00367464
          44   -0.457642   -0.440493   0.0036127
          45   -0.441052   -0.440505  0.00353244
          46   -0.454323   -0.440806  0.00346839
          47   -0.405824   -0.440061  0.00347354
          48   -0.409168   -0.439418  0.00346029
          49    -0.48348   -0.440317  0.00350456
          50   -0.452503   -0.440561  0.00344294
          51   -0.455933   -0.440862   0.0033886
          52   -0.415119   -0.440367   0.0033594
          53   -0.443014   -0.440417  0.00329639
          54   -0.445071   -0.440503  0.00323647
          55   -0.441856   -0.440528  0.00317772
          56   -0.419597   -0.440154  0.00314288
          57   -0.429365   -0.439965  0.00309343
          58     -0.4527   -0.440184  0.00304788
          59    -0.41215   -0.439709  0.00303303
          60   -0.452626   -0.439925  0.00299011
          61   -0.415169   -0.439519  0.00296851
          62   -0.457775   -0.439813   0.0029352
          63   -0.398681    -0.43916  0.00296033
          64    -0.37925   -0.438224   0.0030585
          65    -0.45075   -0.438417  0.00301751
          66   -0.406745   -0.437937  0.00300971
          67   -0.440857   -0.437981   0.0029651
          68   -0.447301   -0.438118  0.00292466
          69   -0.469138   -0.438567  0.00291663
          70   -0.452701   -0.438769  0.00288194
          71   -0.421721   -0.438529  0.00285133
          72   -0.465483   -0.438903   0.0028362
          73   -0.412509   -0.438542   0.0028203
          74   -0.493173    -0.43928  0.00287719
          75   -0.435509    -0.43923  0.00283927
          76   -0.451961   -0.439397  0.00280685
          77   -0.439821   -0.439403   0.0027704
          78   -0.447417   -0.439506  0.00273679
          79   -0.462335   -0.439795  0.00271736
          80   -0.455321   -0.439989  0.00269031
          81    -0.45818   -0.440213  0.00266646
          82   -0.458795    -0.44044  0.00264355
          83   -0.481397   -0.440933  0.00265736
          84   -0.479404   -0.441391   0.0026649
          85   -0.467982   -0.441704  0.00265184
          86   -0.418167    -0.44143  0.00263509
          87   -0.468807   -0.441745  0.00262352
          88   -0.425716   -0.441563  0.00260003
          89   -0.460488   -0.441776  0.00257949
          90    -0.44066   -0.441763  0.00255086
          91   -0.436296   -0.441703  0.00252354
          92   -0.437206   -0.441654  0.00249658
          93   -0.454606   -0.441794  0.00247362
          94   -0.421708    -0.44158  0.00245651
          95   -0.463282   -0.441808  0.00244126
          96   -0.420909   -0.441591  0.00242551
          97   -0.433725   -0.441509  0.00240186
          98   -0.468906   -0.441789  0.00239357
          99    -0.44826   -0.441854  0.00237028
         100   -0.417507   -0.441611  0.00235905
