#   N_BLOCK:  ACCEPTANCE:
           1       0.553
           2      0.5485
           3    0.547333
           4     0.54575
           5      0.5534
           6    0.549667
           7        0.55
           8       0.548
           9    0.550556
          10       0.552
          11    0.553455
          12    0.553583
          13    0.554077
          14       0.555
          15    0.556067
          16    0.556625
          17    0.557941
          18    0.558389
          19    0.558684
          20     0.55885
          21    0.558381
          22      0.5575
          23    0.557652
          24     0.55725
          25     0.55704
          26    0.556462
          27    0.555815
          28    0.556393
          29    0.555655
          30    0.555533
          31    0.555871
          32    0.555438
          33    0.555303
          34    0.555235
          35    0.554971
          36    0.554806
          37    0.554784
          38    0.554368
          39    0.553923
          40      0.5542
          41    0.554976
          42    0.554976
          43    0.554651
          44    0.554341
          45    0.554822
          46    0.554935
          47    0.555128
          48    0.555187
          49    0.555122
          50     0.55536
          51    0.555588
          52    0.556038
          53    0.555943
          54    0.556185
          55    0.555727
          56    0.555946
          57    0.555526
          58    0.555741
          59    0.555373
          60    0.555867
          61    0.555672
          62    0.555758
          63    0.555921
          64    0.555844
          65    0.555585
          66    0.555773
          67    0.555612
          68    0.556118
          69    0.556348
          70    0.556529
          71    0.556394
          72    0.556347
          73     0.55589
          74    0.556149
          75     0.55608
          76    0.555829
          77    0.555532
          78    0.555449
          79    0.555114
          80    0.555087
          81    0.555185
          82    0.555341
          83    0.555639
          84    0.555536
          85    0.555576
          86    0.555535
          87    0.555667
          88    0.555636
          89    0.555596
          90    0.555556
          91    0.555253
          92    0.555348
          93    0.555151
          94    0.554851
          95    0.554705
          96    0.554146
          97     0.55401
          98    0.554184
          99     0.55404
         100     0.55402
