#     BLOCK:   ACTUAL_LE:     X_LE:       ERROR:
           1   -0.479747   -0.479747           0
           2   -0.485712   -0.482729  0.00210899
           3   -0.426614   -0.464024   0.0153372
           4   -0.455753   -0.461956   0.0116414
           5   -0.469693   -0.463504  0.00941541
           6   -0.452013   -0.461589  0.00803858
           7   -0.487075    -0.46523  0.00767053
           8   -0.405075    -0.45771  0.00972212
           9   -0.446812   -0.456499  0.00871697
          10   -0.459904    -0.45684  0.00785192
          11   -0.477795   -0.458745  0.00736558
          12   -0.461471   -0.458972  0.00675528
          13   -0.458052   -0.458901  0.00623602
          14   -0.433862   -0.457113  0.00604163
          15   -0.458325   -0.457193   0.0056394
          16   -0.441918   -0.456239  0.00536714
          17   -0.426809   -0.454508  0.00532331
          18   -0.467795   -0.455246  0.00507849
          19   -0.441909   -0.454544  0.00485947
          20   -0.450578   -0.454346  0.00462054
          21   -0.407394    -0.45211  0.00491175
          22   -0.456368   -0.452303   0.0046923
          23   -0.433403   -0.451482  0.00455967
          24    -0.39918   -0.449302  0.00486265
          25    -0.47785   -0.450444  0.00480035
          26   -0.487715   -0.451878  0.00482501
          27   -0.436401   -0.451304  0.00468023
          28   -0.466388   -0.451843  0.00454398
          29   -0.471494   -0.452521  0.00443752
          30   -0.431105   -0.451807  0.00434664
          31   -0.439787   -0.451419  0.00422369
          32   -0.431429   -0.450795  0.00413764
          33   -0.430799   -0.450189  0.00405638
          34   -0.442644   -0.449967  0.00394314
          35   -0.467585    -0.45047  0.00386247
          36   -0.462128   -0.450794  0.00376873
          37   -0.473045   -0.451395  0.00371454
          38   -0.476368   -0.452052  0.00367447
          39   -0.449867   -0.451996  0.00358068
          40   -0.468091   -0.452399  0.00351369
          41   -0.457861   -0.452532  0.00343052
          42   -0.462927    -0.45278  0.00335776
          43   -0.436356   -0.452398  0.00330132
          44    -0.40906   -0.451413  0.00337002
          45   -0.421015   -0.450737  0.00336215
          46   -0.446236   -0.450639  0.00329048
          47   -0.422122   -0.450033  0.00327594
          48   -0.393161   -0.448848  0.00341523
          49   -0.458906   -0.449053   0.0033517
          50   -0.426419     -0.4486  0.00331509
          51   -0.465585   -0.448933  0.00326678
          52   -0.439934    -0.44876  0.00320853
          53   -0.451047   -0.448803  0.00314829
          54   -0.474433   -0.449278  0.00312556
          55   -0.401746   -0.448414  0.00318597
          56   -0.428651   -0.448061  0.00314856
          57   -0.462365   -0.448312   0.0031033
          58   -0.439321   -0.448157  0.00305367
          59   -0.409265   -0.447498  0.00307223
          60   -0.464113   -0.447775  0.00303349
          61   -0.430136   -0.447485  0.00299751
          62   -0.443841   -0.447427  0.00294973
          63   -0.382711   -0.446399  0.00307659
          64   -0.432369    -0.44618  0.00303631
          65   -0.401081   -0.445486  0.00306785
          66   -0.421065   -0.445116   0.0030436
          67   -0.444397   -0.445106  0.00299819
          68   -0.450939   -0.445191  0.00295533
          69   -0.469397   -0.445542  0.00293325
          70   -0.429257    -0.44531  0.00290055
          71   -0.447987   -0.445347  0.00285995
          72   -0.477924     -0.4458  0.00285579
          73   -0.441452    -0.44574  0.00281729
          74   -0.481144   -0.446219  0.00281955
          75   -0.435634   -0.446077  0.00278549
          76   -0.442819   -0.446035  0.00274917
          77   -0.422396   -0.445728  0.00273055
          78   -0.461402   -0.445929  0.00270293
          79   -0.445671   -0.445925  0.00266871
          80    -0.45003   -0.445977  0.00263585
          81   -0.446427   -0.445982  0.00260331
          82   -0.466327    -0.44623  0.00258336
          83   -0.467652   -0.446488   0.0025651
          84   -0.471396   -0.446785  0.00255164
          85   -0.480207   -0.447178  0.00255174
          86   -0.410133   -0.446747  0.00255817
          87   -0.474397   -0.447065  0.00254843
          88   -0.433246   -0.446908   0.0025243
          89   -0.417314   -0.446576  0.00251774
          90   -0.485963   -0.447013  0.00252752
          91   -0.426334   -0.446786  0.00250994
          92   -0.452229   -0.446845  0.00248335
          93   -0.433629   -0.446703  0.00246071
          94   -0.465334   -0.446901   0.0024425
          95     -0.4668   -0.447111  0.00242576
          96   -0.455425   -0.447197  0.00240203
          97   -0.459973   -0.447329  0.00238088
          98   -0.473415   -0.447595  0.00237142
          99    -0.40115   -0.447126  0.00239342
         100   -0.400446   -0.446659  0.00241458
