# block   x   hist_block   hist_prog   err
         100       -2.97           0           0           0
         100       -2.91           0           0           0
         100       -2.85           0           0           0
         100       -2.79           0           0           0
         100       -2.73           0           0           0
         100       -2.67           0           0           0
         100       -2.61           0           0           0
         100       -2.55           0           0           0
         100       -2.49           0           0           0
         100       -2.43           0           0           0
         100       -2.37           0           0           0
         100       -2.31           0  0.00183333  0.00090967
         100       -2.25           0  0.00116667 0.000754799
         100       -2.19           0  0.00366667  0.00130341
         100       -2.13           0  0.00233333 0.000972397
         100       -2.07           0       0.005  0.00132288
         100       -2.01           0       0.005  0.00132288
         100       -1.95           0      0.0115  0.00205068
         100       -1.89   0.0666667   0.0186667  0.00312054
         100       -1.83           0   0.0221667  0.00321503
         100       -1.77   0.0333333   0.0273333  0.00329579
         100       -1.71           0   0.0428333  0.00504565
         100       -1.65    0.166667   0.0628333  0.00581117
         100       -1.59   0.0833333   0.0833333  0.00709068
         100       -1.53    0.266667    0.109833   0.0070281
         100       -1.47    0.233333      0.1355  0.00836213
         100       -1.41           0    0.149833  0.00817345
         100       -1.35    0.116667    0.179667  0.00916994
         100       -1.29    0.183333       0.233  0.00990505
         100       -1.23         0.4    0.254333   0.0103726
         100       -1.17         0.2    0.282833    0.010756
         100       -1.11    0.316667        0.33   0.0116619
         100       -1.05    0.483333       0.356   0.0122803
         100       -0.99        0.35    0.375833   0.0130499
         100       -0.93        0.35      0.3785   0.0120469
         100       -0.87    0.216667    0.417833   0.0127677
         100       -0.81    0.733333    0.436167    0.014347
         100       -0.75    0.616667    0.427667   0.0160385
         100       -0.69    0.383333      0.4335   0.0152306
         100       -0.63        0.85       0.414   0.0135354
         100       -0.57    0.416667    0.390667   0.0122323
         100       -0.51    0.383333       0.372   0.0125585
         100       -0.45    0.216667       0.359   0.0124441
         100       -0.39         0.3       0.307   0.0109143
         100       -0.33   0.0833333    0.324333   0.0113491
         100       -0.27    0.283333    0.306167  0.00969151
         100       -0.21    0.233333    0.280833   0.0112185
         100       -0.15    0.133333    0.268833  0.00818079
         100       -0.09    0.133333      0.2675  0.00954921
         100       -0.03    0.283333    0.270833   0.0081968
         100        0.03    0.183333    0.252333   0.0100499
         100        0.09         0.1    0.271667  0.00920296
         100        0.15    0.316667    0.267833  0.00951973
         100        0.21         0.3    0.299333   0.0084555
         100        0.27    0.616667    0.322167   0.0112868
         100        0.33    0.366667    0.309833  0.00991378
         100        0.39        0.35      0.3285   0.0129878
         100        0.45         0.4    0.375667   0.0101117
         100        0.51    0.233333    0.384167   0.0139988
         100        0.57         0.6    0.399667   0.0128927
         100        0.63    0.433333    0.391333   0.0144539
         100        0.69         0.5      0.4085   0.0123254
         100        0.75    0.616667    0.439167   0.0138572
         100        0.81         0.3    0.450167   0.0161958
         100        0.87    0.366667    0.414833   0.0134162
         100        0.93    0.566667      0.3825   0.0127069
         100        0.99    0.283333    0.389833   0.0134699
         100        1.05    0.266667    0.355167   0.0122422
         100        1.11    0.216667    0.305667    0.010552
         100        1.17    0.183333       0.286   0.0109207
         100        1.23    0.183333    0.245833  0.00919654
         100        1.29   0.0333333    0.208333   0.0101338
         100        1.35   0.0666667    0.185333   0.0088295
         100        1.41    0.116667    0.158167  0.00763943
         100        1.47   0.0833333    0.121833  0.00686657
         100        1.53        0.05      0.0965  0.00622403
         100        1.59   0.0833333   0.0743333  0.00494087
         100        1.65        0.05      0.0585  0.00516126
         100        1.71         0.2   0.0423333  0.00491833
         100        1.77   0.0166667   0.0243333  0.00329495
         100        1.83           0   0.0221667  0.00375688
         100        1.89   0.0666667   0.0171667  0.00329524
         100        1.95           0   0.0116667  0.00222985
         100        2.01           0  0.00933333   0.0022151
         100        2.07           0  0.00233333 0.000707892
         100        2.13           0  0.00216667  0.00099037
         100        2.19           0 0.000333333 0.000331662
         100        2.25           0 0.000833333 0.000829156
         100        2.31           0           0           0
         100        2.37           0 0.000833333 0.000682113
         100        2.43           0 0.000333333 0.000331662
         100        2.49           0 0.000333333 0.000331662
         100        2.55           0           0           0
         100        2.61           0           0           0
         100        2.67           0           0           0
         100        2.73           0           0           0
         100        2.79           0           0           0
         100        2.85           0           0           0
         100        2.91           0           0           0
         100        2.97           0           0           0

